,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
10,0001193125-13-482943,Facebook,20131223,2013-12-23,8-K,adverse adversely against allege alleged breach break calamity claims closed closing closure conflict conflicts contested corrupt corruption corruptly crisis culpability cut damage damages default defaulting defect defects defend defending deficiency deter disclose disclosed dispute disrupt disruption downgrading easing encumbrance encumbrances erred error fail failed failure fault fined force forced forego fraud fraudulent guilty harm hazard hazardous ill impracticable improper inadvisable inappropriate incident ineligible infringe infringement insufficient intentional interfere investigating investigation late laundering lie limitation limitations lose losing loss losses mislead misleading misrepresent misrepresentation miss moratorium noncompliance omission omissions omit overage plaintiff plea plead pleaded poses postpone quit refusal refuse refused reparation revocation sever strain sue sued suspend suspended suspending terminate terminated termination threat threaten threatened unable unavailable unlawful unpaid violation weak weakness,appear approximate approximately assume assuming believe believes conditional contingent could depend dependent differ may ordinarily pending possible preliminary risk risks sometime sometimes,able achieve advantage benefit confident effective exclusive gain gains good invent invention inventions leading opportunity satisfactory satisfied satisfy succeed succeeding win
11,0001326801-18-000006,Facebook,20180131,2018-01-31,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut defer deter disclosing erred fined ill lapse late lie limitation limitations litigation lose losing loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assumption assumptions believe contingencies contingent could depend dependency dependent differ hidden intangible may predict predicted prediction predictions reassess reassessing revise revised risk risks roughly uncertain uncertainties unsettled vary,able better effective enable encouraging good great greater satisfy strong stronger superior transparency win
12,0001326801-16-000079,Facebook,20160727,2016-07-27,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing doubt doubtful erred ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependency dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable good great greater pleased progress satisfy superior transparency win
13,0001326801-18-000060,Facebook,20181024,2018-10-24,8-K,allegation allegations argument break claims closed collapse cut deny deter disclose disclosed dismiss dismissed fined forego ill lapse late lie litigation lose lying miss missed poses tense unreimbursed wrong wrongdoing,hidden revise revised risk,able resolve satisfaction satisfy win
14,0001326801-18-000049,Facebook,20180605,2018-06-05,8-K,break collapse cut fined ill lapse lie lose lying miss resign resignation,depend dependence dependent hidden revise revised risk,able gain gains satisfy success win
15,0001326801-16-000093,Facebook,20161118,2016-11-18,8-K,break collapse cut ill lapse lie miss,depend hidden may,able opportunities satisfy win
16,0001193125-12-423438,Facebook,20121015,2012-10-15,8-K,acquiesce adverse adversely against allege alleged arrears bankrupt bankruptcy breach break bridge cancel cancellation cancelled caution cautions cease ceased ceases ceasing claiming claims closed closing closure closures concern conflict conflicting conflicts contested contrary correction counterclaim cut damage damages default defect defects defer deficit delay delayed deleterious delinquent denied deny deter detract disclaim disclaims disclose disclosed discontinuance discrepancy dismiss dismissal dismissed dispose dispute disregard disregarded dissolution distress doubt easing encumbrance encumbrances erred erring error errors exculpatory expose fail failed fails failure failures fault faults fined fines force forcing forego fraud fraudulent harm hazard hazardous ill illegal impair impaired impracticable inability inaccuracy inaccurate incapable incident incompetency inconsistency inconsistent incorrect ineffective infringe infringement infringements injury inquiry insolvency insufficient intentional interfere invalid invalidate invalidated investigation investigations involuntary irreparable lapse lapsed late laundering lie limitation limitations liquidate liquidation liquidator lose losing loss losses lying misconduct mislead misleading miss missed moratorium negative negatively negligence obsolescence obsolete omission omissions omit omits omitted onerous oppose opposed overdue penalties penalty pled poses postpone preclude prejudice protest punitive purport purported question quit reject rejected rejects relinquish renegotiation repudiate resign resignation restate restated restatement restructuring revoke revoked sever solvency standstill stress sue sued sues suing suspect suspected suspend suspended terminate terminated terminates termination terminations threat threaten threatened unable unemployment unlawful unpaid unqualified unreasonably usurious usury violate violation violative,ambiguity appear appears approximate approximately assume assumed assumes assumption assumptions believe believed believes conditional contingencies contingency contingent could depend dependence dependent depending differ doubt exposure exposures intangible likelihood may might pending possibility possible precaution precautions risk risks speculative tending unusual vary varying,able achieve achieved adequately advances assuring beneficial beneficially benefit best charitable conclusive confident diligent effective enable exclusive exclusively favorable gain gains good great greater greatest improve improved improvement improvements improving invent invention inventions leading opportunities satisfaction satisfactory satisfied satisfies satisfy succeed succeeded succeeding success win
17,0001193125-12-431558,Facebook,20121023,2012-10-23,8-K,breach breaches break caution cautioned concern concerns conciliation cut decline erred ill late lie limitation limitations lose loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit despite easy effective enable great greater happy improve satisfy strong stronger superior transparency valuable win
18,0001193125-12-379221,Facebook,20120904,2012-09-04,8-K,break closed closing cut disclose disclosed erring ill late lie lose losing lying miss plea pleas poses quit sue sued,anticipate approximate approximately assuming assumption assumptions believe depend depending differ may pending predict prediction predictions vary,able satisfaction satisfied satisfy win
19,0001193125-13-029993,Facebook,20130130,2013-01-30,8-K,breach breaches break caution cautioned closing closure concern concerns conciliation cut disclosing erred ill late lie limitation limitations losing loss lying miss plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able achieve benefit despite effective enable enables good great greater improve improved satisfy stability strong stronger superior transparency valuable win
20,0001326801-18-000063,Facebook,20181030,2018-10-30,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred fined ill lapse late lie limitation limitations litigation lose losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe contingencies contingent could depend dependency dependent differ hidden intangible may predict predicted prediction predictions revise revised risk risks uncertain uncertainties unsettled vary,able best better effective enable enhancing great greater opportunities satisfy superior transparency win
21,0001326801-14-000025,Facebook,20140523,2014-05-23,8-K,break collapse cut ill inability lapse lie lose miss resign resignation,depend dependent hidden,able gain gains satisfy success win
22,0001326801-16-000084,Facebook,20161102,2016-11-02,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing doubt doubtful erred ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe contingent could depend dependency dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable good great greater progress satisfy superior transparency win
23,0001326801-16-000094,Facebook,20161118,2016-11-18,8-K,break collapse cut ill lapse lie miss resign resignation,hidden nearly,able effective satisfy win
24,0001326801-14-000020,Facebook,20140423,2014-04-23,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred ill lapse late lie limitation limitations litigation losing lying miss plea pleas poses quit resign resignation sue sued taint,almost approximate approximately assumption assumptions believe could depend dependent differ hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective efficient efficiently enable great greater improving incredibly progress satisfy strong succeed succeeded superior transparency win
25,0001326801-19-000035,Facebook,20190424,2019-04-24,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred fined ill impair inquiry lapse late lie limitation limitations litigation lose losing loss lying miss plea pleas poses quit sue sued sues taint unresolved,approximate approximately assumption assumptions believe contingencies could depend dependency dependent differ hidden may predict predicted prediction predictions probable revise revised risk risks uncertain uncertainties vary,able better collaborative effective enable enhancing good great greater resolve satisfy superior transparency win
26,0001326801-17-000004,Facebook,20170201,2017-02-01,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing doubt doubtful erred forfeit forfeiture forfeitures ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe contingent could depend dependency dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable great greater satisfy superior transparency win
27,0001326801-17-000011,Facebook,20170307,2017-03-07,8-K,break closed collapse cut disclose disclosed ill lapse lie lose lying miss resign,approximate approximately hidden,able effective satisfy win
28,0001326801-14-000037,Facebook,20141006,2014-10-06,8-K,break cancel cancelled cease ceased closing closure collapse cut fines forego ill lapse late lie losing miss penalties purport quit sue sued terminate terminated,approximate approximately hidden,able accomplish accomplished effective good satisfaction satisfy win
29,0001326801-14-000012,Facebook,20140326,2014-03-26,8-K,adverse adversely break cancel cancelled closing closure collapse cut fined ill lapse late lie lose losing miss quit sue termination,anticipate anticipated could differ hidden may revise risk risks,able satisfied satisfy win
30,0001193125-12-485803,Facebook,20121129,2012-11-29,8-K,break cut ill lie miss,may,exclusive satisfy win
31,0001326801-18-000069,Facebook,20181207,2018-12-07,8-K,break collapse cut fined ill lapse lie lying miss,depend hidden may revise revised,able opportunities satisfy win
32,0001326801-17-000035,Facebook,20170726,2017-07-26,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing doubt doubtful erred fined ill lapse late lie limitation limitations litigation lose losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependency dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions revise revised risk risks uncertain uncertainties unsettled vary,able better enable good great greater satisfy superior transparency win
33,0001326801-17-000021,Facebook,20170503,2017-05-03,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing doubt doubtful erred fined ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependency dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions revise revised risk risks uncertain uncertainties vary,able better enable good great greater satisfy strong superior transparency win
34,0001326801-16-000071,Facebook,20160520,2016-05-20,8-K,break closed collapse cut disclose disclosed ill lapse lie lose miss terminate terminated termination,hidden may,able satisfy win
35,0001326801-14-000010,Facebook,20140219,2014-02-19,8-K,adverse adversely break cancel cancelled cease closing closure collapse cut disclosing fail failure forego ill lapse late lie lose losing lying miss purport quit sue sued terminate termination,anticipate anticipated approximate approximately could depend dependent differ hidden may revise risk risks,able benefit benefiting efficient efficiently excited honor honored incredibly leading satisfied satisfy strong valuable win
36,0001326801-19-000003,Facebook,20190130,2019-01-30,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred fined ill impair lapse late lie limitation limitations litigation lose losing loss lying miss plea pleas poses quit sue sued sues taint,approximate approximately assumption assumptions believe contingencies contingent could depend dependency dependent differ hidden intangible may predict predicted prediction predictions revise revised risk risks uncertain uncertainties unsettled vary,able better effective enable enhancing great greater satisfy superior transparency win
37,0001326801-18-000053,Facebook,20180725,2018-07-25,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred fined ill lapse late lie limitation limitations litigation lose losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe contingencies could depend dependency dependent differ hidden intangible may predict predicted prediction predictions revise revised risk risks uncertain uncertainties unsettled vary,able better enable enhancing great greater satisfy superior transparency win
38,0001326801-17-000033,Facebook,20170606,2017-06-06,8-K,break collapse cut false fined ill lapse lie lose lying miss quit resign resignation,depend dependent hidden revise revised,able gain gains satisfy success win
39,0001326801-14-000029,Facebook,20140723,2014-07-23,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependent differ hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable good great greater opportunity satisfy superior transparency win
40,0001326801-19-000016,Facebook,20190314,2019-03-14,8-K,break collapse cut fined ill lapse lie lying miss resign,hidden revise revised,able satisfy win
41,0001326801-16-000077,Facebook,20160621,2016-06-21,8-K,break closed collapse cut disclose disclosed dissolution ill inability lapse late lie liquidation lose miss quit resign resignation restate restated restatement,depend dependent hidden,able gain gains satisfy success win
42,0001326801-14-000003,Facebook,20140129,2014-01-29,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred ill lapse late lie limitation limitations litigation losing lying miss plea pleas poses quit sue sued taint,approximate approximately assume assumed assuming assumption assumptions believe could depend dependent differ hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable great greater satisfy superior transparency win
43,0001193125-13-177980,Facebook,20130426,2013-04-26,8-K,break cut ill lie miss,,satisfy win
44,0001326801-19-000029,Facebook,20190415,2019-04-15,8-K,absence adverse adversely against allege alleged alleging assertions breach breached break burden cancel cancellation cease ceased challenge challenges claiming claims closed closing closure collapse concern conflict contend contrary convict conviction counterclaim counterclaims criminal cut defend defending deficiencies delay destroy destroyed destruction deter diminish diminishing disclose disclosed disinterested dismiss dismissal dispose dispute disqualification disqualified disregard disregarded disrupt disruption distract distraction doubt erred fail failed fails failure fault fined fines force forced forego fraud frivolous guilty harm ill illegal impair impaired impairing improper inability inaction inadvertent incident inconsistent inquiry intentional interfere invalid invalidate investigating investigation knowingly lapse late lie limitation limitations litigation lose losing loss lost lying misconduct miss objecting omission omissions oppose opposed overage overcome penalties plea pleas poses posing postpone postponed postponement preclude prejudice prosecute prosecuted prosecuting purport purporting question questions quit relinquish relinquishes resign resignation restate restated revocation revocations revoke revoked sever stolen sue sued sues suffer suffered taint terminate termination terminations threat threaten threatened unable unavailable undue unlawful unpaid unreasonably violation,alteration anticipate anticipated appear appears assume believe believed believes clarification clarifications could depend dependence dependent differ doubt hidden indefinite may might pending possible presume presumed presumption revise revised risk suggest suggests tending uncertain uncertainty,able advancement advances advantage beneficial beneficially benefit best conclusive conclusively confident desirable desired effective empower empowered enable enjoy exclusive exclusively exclusivity favorably gain gaining gains good great greater loyal opportunity pleasure resolve satisfactory satisfied satisfy success successful successfully win
45,0001326801-16-000060,Facebook,20160427,2016-04-27,8-K,breach breaches break caution cautioned challenge challenges challenging closing closure collapse concern concerns conciliation cut disclosing distract distracted doubt doubtful erred hurt ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses posing question questions quit restate sue sued taint worry,approximate approximately assumption assumptions believe believes could depend dependency dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions preliminary risk risks uncertain uncertainties vary varying,able achieve benefit best better creative effective enable enabling encouraging good great greater improve improving incredible leadership leading satisfy strong stronger success superior transparency valuable win
46,0001326801-15-000035,Facebook,20151201,2015-12-01,8-K,break closed collapse cut disclose disclosed ill lapse lie lose miss,approximate approximately hidden,able advancing beneficial beneficially good satisfy win
47,0001326801-13-000016,Facebook,20130724,2013-07-24,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred ill lapse late lie limitation limitations losing loss lying miss negative plea pleas poses quit sue sued taint,approximate approximately assume assumed assuming assumption assumptions believe could depend dependent differ hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit best better effective enable good great greater progress satisfy strong success successful successfully superior transparency win
48,0001326801-18-000037,Facebook,20180508,2018-05-08,8-K,break challenge challenges closing collapse cut fined ill lapse lie lose losing lying miss,depend dependent hidden revise revised,able delight delighted effective exciting opportunities satisfy win
49,0001326801-17-000042,Facebook,20170922,2017-09-22,8-K,break closed collapse cut deter disclose disclosed fined ill lapse lie lose lying miss restate restated,anticipate anticipates approximate approximately depend dependent hidden revise revised,able beneficial beneficially satisfy win
50,0001326801-14-000064,Facebook,20141029,2014-10-29,8-K,break claims closed closing collapse concern cut delay delayed deter disclose disclosed dispose erred fined force forego ill investigation lack lapse lie lose losing miss poses sue sued sues suspend suspending terminate termination undisclosed,assume assumed depend dependent hidden indeterminate may nonassessable pending,able effective good opportunity satisfy win
51,0001193125-12-316895,Facebook,20120726,2012-07-26,8-K,breach breaches break caution cautioned claims concern concerns conciliation cut erred ill late lie limitation limitations loss lying miss negative plea pleas poses quit sever sue sued taint,approximate approximately assuming assumption assumptions believe could depend dependent differ intangible may pending predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better despite effective enable enabled great greater improve improved popular satisfy superior transparency win
52,0001326801-16-000038,Facebook,20160127,2016-01-27,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut defer disclosing doubt doubtful erred ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependency dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable great greater satisfy superior transparency win
53,0001193125-18-145181,Facebook,20180501,2018-05-01,8-K,break cut fined ill lie lying miss resign resignation,revise revised,satisfy win
54,0001326801-13-000029,Facebook,20131030,2013-10-30,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing erred ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assume assumed assuming assumption assumptions believe could depend dependent differ hidden intangible may nearly predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able achieve achieved benefit better effective enable great greater satisfy strong superior transparency win
55,0001193125-12-439795,Facebook,20121029,2012-10-29,8-K,break cut default fault ill late lie miss restate restated,,able satisfy win
56,0001326801-15-000023,Facebook,20150615,2015-06-15,8-K,break collapse cut ill inability lapse lie lose miss quit resign resignation,depend dependent hidden may risk,able gain gains satisfy success win
57,0001193125-12-282349,Facebook,20120625,2012-06-25,8-K,break closure cut ill late lie miss quit,,satisfaction satisfy win
58,0001326801-15-000026,Facebook,20150729,2015-07-29,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing doubt doubtful erred ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable great greater improving satisfy strong success successful successfully superior transparency win
59,0001326801-15-000030,Facebook,20151104,2015-11-04,8-K,breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing doubt doubtful erred ill lapse late lie limitation limitations litigation losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions risk risks uncertain uncertainties vary varying,able benefit better effective enable good great greater innovating satisfy success successful successfully superior transparency win
60,0001326801-17-000046,Facebook,20171101,2017-11-01,8-K,abuse breach breaches break caution cautioned closing closure collapse concern concerns conciliation cut disclosing doubt doubtful erred fined ill lapse late lie limitation limitations litigation lose losing loss lying miss plea pleas poses preventing quit serious sue sued taint,approximate approximately assumption assumptions believe contingent could depend dependency dependent differ doubt doubtful hidden intangible may predict predicted prediction predictions revise revised risk risks uncertain uncertainties unsettled vary,able better enable great greater profitability satisfy superior transparency win
61,0001326801-13-000013,Facebook,20130613,2013-06-13,8-K,break closed collapse cut disclose disclosed ill lapse lie lose miss resign resignation,depend dependent hidden,able gain gains satisfy success win
62,0001326801-18-000026,Facebook,20180425,2018-04-25,8-K,breach breaches break caution cautioned challenge challenges closing closure collapse concern concerns conciliation cut disclosing erred fined ill lapse late lie limitation limitations litigation lose losing loss lying miss plea pleas poses quit sue sued taint,approximate approximately assumption assumptions believe could depend dependency dependent differ hidden intangible may predict predicted prediction predictions revise revised risk risks uncertain uncertainties unsettled vary,able better enable enhancing good great greater opportunities satisfy strength strengthen strong superior transparency win
63,0001326801-13-000006,Facebook,20130306,2013-03-06,8-K,break collapse cut deter fines ill lapse lie lying miss penalties termination,approximate approximately hidden,able satisfy win
