,ticker,date,neg_text,uncert_text,pos_text,price_prior,price_0,price_1,price_3,price_7,p_p_n,p_0_n,Total,Buys,Holds,Sells,Rating,Target Px,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0
16,amzn,2010-12-17,break,assuming,able satisfy win,178.0399932861328,177.5800018310547,183.2899932861328,184.75999450683602,181.08999633789062,175.38999938964844,184.4499969482422,33.0,19.0,13.0,1.0,4.091,175.82,-0.26,2.95,3.22,-5.07,-3.15,-0.17,1.86,-0.24,4.91
17,amzn,2011-01-27,break cancel cancellation cancellations claims closure closures conciliation decline deter difficult erred force fraud ill interrupt interruption interruptions lack late lie limitation limitations loss lying miss negative negatively quit sue sued taint unfavorable unpredictable worry,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might pending possible predict predicted risk risks uncertain uncertainties unpredictable,able achieve achieved alliance benefit best easily easy efficient efficiently enable favorable gain gains invent inventor opportunities popular satisfy surpass win,175.38999938964844,184.4499969482422,171.13999938964844,172.11000061035156,176.42999267578125,165.32000732421875,171.10000610351562,36.0,24.0,11.0,1.0,4.2780000000000005,195.81,5.17,-2.42,-7.22,-3.95,-6.3,-0.59,-3.02,-15.57,-12.62
18,amzn,2011-03-24,break closure lose,,able satisfy win,165.32000732421875,171.10000610351562,170.97999572753906,174.6199951171875,182.94000244140625,185.4199981689453,182.3000030517578,33.0,21.0,11.0,1.0,4.212,196.15,3.5,3.42,-0.07,6.18,1.36,4.4,-0.35,-5.47,-7.06
19,amzn,2011-04-26,break cancel cancellation cancellations claims closure closures conciliation decline difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations loss lying miss quit sue sued taint unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable,able alliance benefit best easily easy efficient efficiently enable enables excited favorable gain gains innovative invent inventing inventor opportunities popular satisfy surpass win,185.4199981689453,182.3000030517578,196.6300048828125,195.80999755859366,197.1100006103516,182.3000030517578,196.6300048828125,31.0,21.0,9.0,1.0,4.29,198.2,-1.68,6.05,7.86,-6.9,-7.51,0.42,-0.24,-8.02,-0.79
20,amzn,2011-04-27,against break challenge challenges closure conflict convict conviction cut easing fail failure failures fined force forced forcing fraud harsh harshest ill late lie loss losses miss persist persistence problem problems sacrifice sacrifices serious sever sue sued urgency,almost appear believe could differ may might possible predict probabilistic probability random risk risks unusual,able achieve achieving advances advantage advantages benefit best better desired despite easy effective enabling encouragement enhance enhanced excited exclusive exclusively gain gaining gains good great greater greatly happily improve improving incredible incredibly innovation invent invented inventor leadership opportunities opportunity optimistic perfect perfectly profitability progress receptive satisfy strength strengthen strengthened strong stronger success successes successful successfully valuable versatile win,182.3000030517578,196.6300048828125,195.07000732421875,201.19000244140625,197.6000061035156,189.67999267578125,186.52999877929688,31.0,21.0,9.0,1.0,4.29,202.95,7.86,7.0,-0.79,-5.72,-4.01,-7.29,-5.6,-6.54,-8.09
21,amzn,2011-06-10,break closed concern cut disclose disclosed ill lose miss,depend dependent,gain gains satisfy success win,189.67999267578125,186.52999877929688,186.2899932861328,185.97999572753903,194.22999572753903,213.4900054931641,214.17999267578125,31.0,19.0,11.0,1.0,4.1610000000000005,207.19,-1.66,-1.79,-0.13,14.79,9.92,15.16,10.27,3.04,3.37
22,amzn,2011-07-26,break cancel cancellation cancellations claims closure closures conciliation decline difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations loss losses lying miss quit sue sued taint unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable,able alliance benefit best easily efficient efficiently enable enhance enhancement enhancements favorable gain gains innovation invent inventor opportunities positive positively satisfy win,213.4900054931641,214.17999267578125,222.5200042724609,222.5200042724609,201.47999572753903,219.8999938964844,217.25999450683602,35.0,22.0,12.0,1.0,4.143,226.6,0.32,4.23,3.89,-1.18,9.14,-2.36,7.83,-2.96,-4.12
23,amzn,2011-09-08,break,assuming,satisfy win,219.8999938964844,217.25999450683602,211.38999938964844,219.52999877929688,241.69000244140625,237.6100006103516,227.1499938964844,33.0,20.0,12.0,1.0,4.091,246.48,-1.2,-3.87,-2.7,8.24,-1.69,3.47,-6.02,-3.6,-7.84
24,amzn,2011-10-25,break cancel cancellation cancellations claims closure closures conciliation decline difficult easing erred fraud ill interrupt interruption interruptions late lie limitation limitations loss lying miss quit sue sued taint unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable,able alliance benefit best easier easily easy effective efficient efficiently enable favorable gain gains incredible invent inventor opportunities popular satisfy unparalleled vibrant win,237.6100006103516,227.1499938964844,198.3999938964844,217.32000732421875,218.2899932861328,192.1499938964844,194.44000244140625,33.0,21.0,11.0,1.0,4.152,249.56,-4.4,-16.5,-12.66,-11.58,-11.97,-10.53,-10.93,-23.0,-22.09
25,amzn,2012-01-31,break cancel cancellation cancellations claims closure closures conciliation decline degradation difficult downtime erred fraud ill interrupt interruption interruptions late lie limitation limitations loss lying miss pled quit sue sued taint unpredictable,approximate approximately assume assumes believe contingencies could depend dependent differ fluctuation fluctuations intangible may might nearly pending possible predict risk risks uncertain uncertainties unpredictable,able advantage alliance benefit best easier easily easy efficient efficiently enable favorable gain gains invent inventor opportunities popular satisfy tremendous unparalleled vibrant win,192.1499938964844,194.44000244140625,179.4600067138672,187.67999267578125,184.97999572753903,184.97999572753903,185.5399932861328,40.0,25.0,14.0,1.0,4.15,229.84,1.19,-6.6,-7.7,-1.44,0.0,-1.14,0.3,-19.52,-19.27
26,amzn,2012-02-10,break,assuming,able satisfy win,184.97999572753903,185.5399932861328,191.58999633789062,184.47000122070312,182.25999450683602,185.5200042724609,192.3300018310547,39.0,24.0,14.0,1.0,4.128,216.31,0.3,3.57,3.26,0.57,1.79,4.26,5.53,-14.23,-11.09
27,amzn,2012-03-20,break claims closing closure fraud ill interrupt interruption late lose losing miss plea pleas taint,approximate approximately assumption could differ fluctuation fluctuations may might possible risk risks uncertain uncertainties,able benefit delight delighted easier easy enable improve innovative innovator invent invention inventor leading satisfy unparalleled valuable vibrant win,185.5200042724609,192.3300018310547,191.72999572753903,195.0399932861328,204.6100006103516,190.69000244140625,188.4600067138672,39.0,23.0,15.0,1.0,4.077,217.07,3.67,3.35,-0.31,-2.23,-6.8,-3.37,-7.89,-12.15,-13.18
28,amzn,2012-04-13,against break challenge challenges closure critical cut delay downturn easing fail failure failures force forced forcing harm harming ill impossible impractical investigate late lie lose loss losses miss quit recession reject rejected sacrifice sacrifices seize serious sever severe severely slow sue urgency worry worrying,appear approximate approximately believe could depend dependent differ improbable may might nearly perhaps possible probability probable risk risks sometime sometimes somewhat variable,able accomplish achieving advantage advantages assure benefit best better creativity despite dream easier easily easy effective empower enabling encouragement enhance enhanced enjoy enjoying excited friendly gain gaining gains good great greater greatly happily improve improving incredible incredibly innovation innovations innovative inspiration inspirational invent invention inventions inventor leadership opportunities opportunity optimistic profitability progress receptive reward rewards satisfy strength strengthen strengthened strong stronger success successes successful valuable versatile win,190.69000244140625,188.4600067138672,185.5,191.07000732421875,190.3300018310547,194.4199981689453,195.9900054931641,40.0,22.0,17.0,1.0,4.0,217.07,-1.17,-2.72,-1.57,1.75,2.15,2.57,2.97,-10.43,-9.71
29,amzn,2012-04-26,break cancel cancellation cancellations claims closure closures conciliation decline difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations lose loss lying miss quit sue sued taint unfavorable unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations hidden intangible may might pending possible predict risk risks uncertain uncertainties unpredictable unusual,able alliance assure benefit best easier easily easy efficient efficiently enable enjoy excited exclusive favorable gain gains invent inventor opportunities popular satisfy unparalleled vibrant win,194.4199981689453,195.9900054931641,226.8500061035156,230.0399932861328,225.16000366210938,231.8999938964844,230.0399932861328,40.0,24.0,15.0,1.0,4.1,221.63,0.81,16.68,15.75,0.81,2.99,0.0,2.17,4.63,3.79
30,amzn,2012-05-01,break closure,,satisfy win,231.8999938964844,230.0399932861328,230.25,223.9900054931641,226.69000244140625,215.2400054931641,212.88999938964844,41.0,27.0,13.0,1.0,4.22,249.33,-0.8,-0.71,0.09,-3.91,-5.05,-4.96,-6.09,-13.67,-14.62
31,amzn,2012-05-25,break closure closures cut ill miss,depend dependent,gain gains satisfy success win,215.2400054931641,212.88999938964844,214.75,209.22999572753903,213.2100067138672,217.0500030517578,220.00999450683602,42.0,30.0,11.0,1.0,4.333,257.22,-1.09,-0.23,0.87,3.74,1.8,5.15,3.19,-15.62,-14.47
32,amzn,2012-07-26,break cancel cancellation cancellations claims closure closures conciliation decline difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations lose loss lying miss quit sue sued taint unfavorable unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable,able achieve achievement achievements alliance benefit best better easier easily easy efficient efficiently enable exclusive favorable gain gains improve invent inventor leading opportunities proactive satisfy success successful successfully unparalleled vibrant win,217.0500030517578,220.00999450683602,237.32000732421875,233.3000030517578,233.9900054931641,260.47000122070307,258.510009765625,43.0,30.0,12.0,1.0,4.302,261.21,1.36,9.34,7.87,11.65,11.32,10.81,10.48,-0.28,-1.03
33,amzn,2012-10-05,break closing forfeit forfeited ill lose losing,approximate approximately,able satisfaction satisfy win,260.47000122070307,258.510009765625,259.0599975585937,244.9900054931641,243.94000244140625,228.4900054931641,222.9199981689453,46.0,32.0,13.0,1.0,4.3039999999999985,271.18,-0.75,-0.54,0.21,-6.73,-6.33,-9.01,-8.62,-15.74,-17.8
34,amzn,2012-10-25,break breaking cancel cancellation cancellations claims closure closures conciliation costly decline difficult disaster erred fraud ill impair impairment interrupt interruption interruptions late lie limitation limitations loss losses lying miss quit sever sue sued taint unfavorable unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable,able alliance benefit best collaboration easily easy efficient efficiently enable enjoy exclusive exclusively favorable favorite gain gains good improve improved invent inventor opportunities satisfy win,228.4900054931641,222.9199981689453,238.2400054931641,232.88999938964844,234.3300018310547,247.1100006103516,251.2700042724609,45.0,31.0,13.0,1.0,4.289,274.13,-2.44,4.27,6.87,6.11,5.45,7.89,7.23,-9.86,-8.34
35,amzn,2012-11-29,absence acquiesce adverse adversely against allege alleged annul arrears bad bankrupt bankruptcy breach break calamity cancel canceled cancellation cease ceases claims closed closing conciliation conflict conflicting conflicts contrary crisis culpability cut damage damages decline default defaulted defaulting defaults defect defend defending defer delay delist delisting destroy destroyed destruction deter discontinue discontinued dispose disregard disregarded disrupt disruption doubt downgrading easing embargo encumbrance encumbrances enjoin enjoining erred error exculpation expose fail failed fails failure fault faulted faults fined force forced forego fraud fraudulent grossly guilty harm hinder ill illegal impair impaired impede impracticable inability inadvisable inappropriate incapable incident inconsistency inconsistent inconvenient ineligible insolvency insolvent insufficient interrupt interruption invalid investigate investigating investigation involuntary lapse late laundering lie limitation limitations liquidation liquidator litigant lose losing loss losses lost lying misconduct mislead misleading misrepresent misrepresentation miss misuse moratorium negligence negligent objection omission omissions omit omits omitted overdue plaintiff plea plead pleaded pled poses postpone preclude prosecute prosecuted punitive purport purported purporting quit refusal refuse refused reparation resign resignation resigned resigns revocation revoke revoked sever solvency stolen stoppage stoppages strain straining sue sued suffer suffered suing suspend suspended suspending terminate terminated termination threat threaten threatened unable unauthorized unavailability unavailable unpaid unreasonable unwilling usury violation,ambiguity anticipation appear approximate approximately assume assumed assumes assuming assumption assumptions believe believed believes conditional conditionally contingency could depend dependent differ differing doubt may might ordinarily pending possibility possible preliminary revise risk risks unknown variable variation variations vary,able adequately advances advantage beneficial benefit best conclusive conclusively constructive desirable effective empower empowered enable exclusive exclusively gain gains good great greater highest leading opportunity satisfaction satisfactory satisfied satisfy succeed succeeding success win,247.1100006103516,251.2700042724609,252.0500030517578,252.4900054931641,247.7700042724609,248.30999755859366,245.17999267578125,44.0,30.0,13.0,1.0,4.295,273.09,1.68,2.0,0.31,-1.66,0.22,-2.9,-1.05,-9.07,-10.22
36,amzn,2012-12-28,break resign resigning,,effective satisfy win,248.30999755859366,245.17999267578125,250.8699951171875,257.3099975585937,266.3800048828125,276.04000854492193,260.35000610351557,42.0,29.0,12.0,1.0,4.333,273.47,-1.26,1.03,2.32,7.28,3.63,1.18,-2.26,0.94,-4.8
37,amzn,2013-01-29,break breaking cancel cancellation cancellations claims closure closures conciliation costly cut decline difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations lose loss losses lying miss quit sue sued taint unfavorable unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might nearly pending possible predict risk risks uncertain uncertainties unpredictable,able alliance attain attained benefit best easily easy efficient efficiently enable excited exclusive favorable gain gains highest improve improved innovation invent inventor opportunities popular satisfaction satisfy win,276.04000854492193,260.35000610351557,272.760009765625,265.0,260.23001098632807,269.85000610351557,272.8699951171875,41.0,31.0,10.0,0.0,4.512,301.0,-5.68,-1.19,4.77,1.83,3.7,2.97,4.86,-10.35,-9.35
38,amzn,2013-04-12,against arrears break challenge challenges closure cut easing fail failure failures force forced forcing ill inconvenience inflicted late lie loss losses miss mistake mistakes pled poor risky sacrifice sacrifices serious sever sue sued unavoidably urgency worry,appear believe could differ may might perhaps possible probability risk risks risky roughly somewhat,able achieving advantage advantages benefit benefitting best better charitable delight delighting delights despite easy effective efficient enabling encouragement enhance enhanced enhancement enhancements excellent excited gain gaining gains good great greater greatly happy impress improve improvement improvements improving incredible incredibly innovation innovative invent invention inventions inventor leadership opportunities opportunity optimistic positive proactive proactively profitability progress receptive satisfy strength strengthen strengthened strong stronger success successes successful valuable versatile win,269.85000610351557,272.8699951171875,267.72000122070307,267.39999389648443,268.89999389648443,268.77999877929693,274.70001220703125,42.0,29.0,13.0,0.0,4.381,317.5,1.12,-0.79,-1.89,0.52,-0.04,2.73,2.16,-15.34,-13.48
39,amzn,2013-04-25,arrears break breaking cancel cancellation cancellations claims closure closures conciliation decline deter difficult erred fraud ill interrupt interruption interruptions late lie limitation limitations loss losses lying miss quit sue sued taint unfavorable unpredictable,approximate approximately assume assumes believe contingencies could differ fluctuation fluctuations intangible may might pending possible predict risk risks uncertain uncertainties unpredictable,able alliance benefit best easily efficient efficiently enable enabling exciting exclusive exclusively favorable gain gains improve improved invent inventor leading opportunities popular satisfy win,268.77999877929693,274.70001220703125,254.80999755859366,253.80999755859366,255.72000122070312,261.79998779296875,261.739990234375,42.0,29.0,13.0,0.0,4.381,315.31,2.2,-5.2,-7.24,3.15,2.38,3.12,2.35,-16.97,-16.99
40,amzn,2013-05-24,break concern cut ill miss,depend dependent,gain gains satisfy success win,261.79998779296875,261.739990234375,267.29000854492193,265.52999877929693,265.70001220703125,298.94000244140625,303.3999938964844,42.0,30.0,12.0,0.0,4.4289999999999985,314.12,-0.02,2.1,2.12,12.58,12.51,14.26,14.19,-4.83,-3.41
