,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
10,0001065088-19-000017,EBAY,20190423,2019-04-23,8-K,against break closed closing closure collapse conciliation conciliations crisis cut default defer deter difficult disclosing discontinue discontinued divest divestiture divestitures downturn easing erred fault fined forego ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss poses quit restructuring sever taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible may nearly predict predicted recalculate revise revised risk risks uncertain uncertainties vary varying,able achieve achieved advancement advancements advantage benefit boost easier effective empower empowering enable enabled enables enhance enhancement enhancements gain gains good great improve improving leading opportunities opportunity proactive proactively progress satisfy stability success successful successfully vibrant win
11,0001065088-19-000003,EBAY,20190129,2019-01-29,8-K,break closed closing closure collapse conciliation conciliations crisis cut defer deter difficult disclosing discontinue discontinued divest divestiture divestitures downturn easing erred fined forego ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss opportunistic poses quit restructuring sever suing taint terminate terminated termination,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible may nearly predict predicted recalculate revise revised risk risks uncertain uncertainties vary varying,able achieve achieved benefit confident easier effective empower empowering enable enabled enhance enhancing gain gains good great improve improvement improvements leading opportunities opportunity satisfy stability strength strong success successful successfully vibrant win
12,0001065088-17-000026,EBAY,20170720,2017-07-20,8-K,break closed closing closure collapse conciliation conciliations crisis cut defer deter difficult disclosing discontinue discontinued divest divestiture divestitures downturn easing erred expose exposed fined forego ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss negative negatively opportunistic poses quit restructuring sever sharply taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible may predict predicted recalculate revise revised risk risks uncertain uncertainties vary varying,able achieve achieved benefit easier effective empower empowering enable enabled enhance enhanced gain gains good great improving invent inventor opportunity progress satisfy stability strong stronger success successful successfully vibrant win
13,0001065088-16-000328,EBAY,20161019,2016-10-19,8-K,break closed closing closure collapse conciliation conciliations crisis cut deter difficult disclosing discontinue discontinued divest divestiture divestitures downturn easing erred fined forego ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss poses quit restructuring sever taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible may predict predicted recalculate risk risks uncertain uncertainties vary varying,able achieve achieved benefit effective empower empowering enable enabled enables enhance enhancement enhancements gain gains good great innovation invent inventor opportunity progress satisfy stability strength strong success successful successfully vibrant win
14,0001065088-16-000314,EBAY,20160720,2016-07-20,8-K,break closed closing closure collapse conciliation conciliations crisis cut deter difficult disclosing discontinue discontinued divest divestiture divestitures downturn easing erred fined forego ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss opportunistic poses quit restructuring sever taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible may predict predicted recalculate risk risks uncertain uncertainties vary varying,able achieve achieved benefit best better effective empower empowering enable enabled enhance enhanced enhancing gain gains good great improve innovation invent inventor opportunity progress satisfy stability strength strengthen strong success successful successfully vibrant win
15,0001065088-16-000300,EBAY,20160427,2016-04-27,8-K,absence adverse adversely against alienation bankrupt bankruptcy break broken cancel canceled cancellation cease ceased ceases claiming clawback closing collapse concern conflict contrary cut deceased defend defer deter discontinue discontinued dispose dissolution doubt encumber encumbered encumbrance erred erring fail fails failure fined force forego forfeit forfeited forfeiture harm ill impair impairment incident inconsistent ineligible interfere interrupt interrupts involuntary lapse lapsed lapses lapsing late lie limitation limitations liquidation losing loss lying miss penalty plea pleas pled poses preclude purport purported question questions quit resign resignation restate restated restatement restructuring revocation revoke revoked sever sue sued suspend terminate terminated terminates termination terminations unable unfunded unrest violate violation,anticipation assume assumed assumption contingent could depend dependent differ doubt hidden intangible may pending revise risk unusual vary varying,able achieve achieved achieving advantage assure attain attained attainment beneficial beneficially benefit conclusive conclusively desirable effective empower empowered enhance exclusive favorable gain gains good great greater opportunity pleasure satisfaction satisfied satisfy succeed succeeds success successful superior win
16,0001193125-12-191579,EBAY,20120427,2012-04-27,8-K,absence adverse adversely against allege alleged alleging breach breached break cancel cease ceased challenge challenges closed closing closure closures conflict contested contrary criminal cut damage damages defect defective defend defending destroy destroyed destruction deter disclose disclosed disinterested disqualification disqualified disregard disregarded disrupt disruption erred fail fails failure fined fines force forced forego fraud harm ill illegal improper inability inadvertent incident inconsistent intentional invalid invalidate lack late lie limitation limitations liquidation lose losing loss lost lying misconduct miss objecting omission penalties plea pleas pled poses posing postpone postponement prejudice question questions quit reject resign resignation resignations restate restated restatement restates revocation revocations revoke revoked stolen sue sued suffer suffered termination terminations threat threaten threatened unable violation volatility,appear appears believe believed believes could depend dependence dependent differ may might pending possible risk volatility,able advancement beneficial beneficially benefit best conclusive desired effective empower exclusive favorable gain gains good great greater highest loyal opportunity pleasure satisfy succeed succeeding success win
17,0001065088-16-000338,EBAY,20161103,2016-11-03,8-K,break closure collapse cut lapse lie miss poses,assume assumes hidden may,able gain satisfy win
18,0001065088-17-000022,EBAY,20170623,2017-06-23,8-K,break collapse cut disclose fined ill lapse lie lose lying miss,hidden revise revised,able satisfy win
19,0001065088-14-000004,EBAY,20140122,2014-01-22,8-K,bad break breaking closed closing closure closures collapse conciliation conciliations crisis cut default delinquency deter difficult disclosing dispose disrupt disruption divest divested divestiture divestitures downturn easing erred fault fined forego fraud ill impair impairment lapse late lie limitation limitations litigation lose loses losing loss losses lying miss missed opportunistic overage poses quit restructuring sever shut shutdown taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations hidden intangible intangibles may nearly predict predicted recalculate risk risks uncertain uncertainties vary varying,able achieve achieved benefit best easily effective enable enabled enables enhance gain gained gains good great greater incredibly innovation opportunities opportunity profitably satisfy stability strong success successful successfully tremendous win
20,0001065088-14-000164,EBAY,20141020,2014-10-20,8-K,break collapse cut disagree disagreement ill lapse lie lose miss resign resignation,could depend dependent hidden nearly,able accomplish accomplished best easily effective enable enabled enables great greatly leadership satisfy success valuable win
21,0001193125-11-241305,EBAY,20110906,2011-09-06,8-K,adverse against breach break cancel cease ceases closed closing closure crime cut deter dispute embezzle embezzlement fail failure felony fined forego forfeit fraud ill impair impairment incapacity involuntarily late lie lose losing lying misappropriation misconduct miss plea pleas poses question questions quit resign resignation revoking sever sue sued terminate terminated termination unauthorized,assuming contingent may possible,able achieve achievement achievements beneficial benefit conclusive conclusively confident delight delighted effective excited gain gains opportunity pleased resolve satisfactory satisfy satisfying tremendous win
22,0001065088-15-000083,EBAY,20150323,2015-03-23,8-K,break cease ceases collapse cut defer easing erred ill lapse late lie miss quit reparation standstill unfunded,anticipate anticipation depend dependent hidden nearly,able accomplish accomplished better delight delighted easily effective enable enabled enables excited great greatly improve innovation leadership leading progress satisfy stability success successful unparalleled valuable win
23,0001193125-10-162870,EBAY,20100721,2010-07-21,8-K,against break closed conciliation conciliations crisis cut declining delinquency deter difficult divest divestiture divestitures downturn easing erred fined forego fraud ill impair impairment impairments late lie limitation limitations litigation lose loss losses lying miss missed negative negatively poses quit restructuring sever slow slower taint worse worsen worsening,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able achieve advances benefit easily effective enable enables enhance gain gains good improve improvement improvements innovative positive positively profitably progress satisfy stability strength strong stronger success successful successfully win
24,0001065088-19-000012,EBAY,20190301,2019-03-01,8-K,against alleging bankrupt bankruptcy breach breached breaches break cancel cancellation cease ceases ceasing circumvent claims closed closure collapse concern conflict conflicts contested contrary controversy counterclaim counterclaims criticize cut damage damages decline declines defame defames default defeat defer delay deliberate deliberately delist delisted deny deter disclose disclosed disparage disparagement disparages dispose dispute disputes disrepute dissolution doubt easing erred fail fails failure fault fined force forced forego fraud fraudulent ill illegal illegality impair impaired impede improper inconsistent inconvenient injunction injunctions injury insolvency intentional invalid invalidate invalidated irreparable knowingly lapse late lie limitation liquidation litigation lose loss lying miss moratorium opposition plea pleas pled poses postpone postponement postponements preclude prevents purport question quit reject reparation resign resignation resigns restructuring sever slander slanders solvency standstill standstills subpoena sue sued sues suing taint terminate termination terminations unable unwilling violate violated violation,ambiguities appear approximate approximately assumption assumptions conditional conditionally could depend dependence dependent differ doubt exposure hidden may predict predicted revise revised risk risks tending uncertain uncertainties,able adequately beneficial beneficially benefit best collaborative confident constructive effective empower empowering enable enabled encouraged encouragement encouraging enhance enhanced excellence exclusive exclusively gain gains good great improve improvement leadership opportunity pleased positive satisfies satisfy satisfying success tremendous valuable vibrant win
25,0001065088-15-000257,EBAY,20151112,2015-11-12,8-K,absence adverse against arrears bankrupt bankruptcy breach breached break bribe bribery caution cautionary cease ceased ceases claiming claims closed closure closures collapse concern conciliation conflict contested contrary corrupt corruption counterclaim cut damage damages decline declined declines default defect defects defer delay delayed delinquent denies deter detract disadvantage disadvantageous disadvantages disapprove disavow disclose disclosed dishonor dismiss dismissed dispose disproportion disproportionate dispute disputes disregard disregarding dissolution divest divestiture doubt easing embargo embargoes encumber encumbering encumbrance encumbrances enjoin erred erring error exculpatory expose fail failed failing fails failure fault faults fined force forced forcing forego fraud fraudulent harm idle ill illegal impair impaired impairment inability inaccuracy inaccurate incapable incident incomplete inconsistent incorrect indefeasibly infringe infringement infringes injunction injunctions insolvency insufficient interfere invalid invalidate invalidated invalidity investigation knowingly lapse lapsed late laundering lie limitation limitations liquidate liquidation liquidator litigation lose losing loss losses lying malpractice misconduct mislead misleading miss missed misstate misstatement moratorium negative negligence noncompliance nonpayment objection obsolete omission omissions omit omits omitted onerous oppose opposed overage penalties penalty pled poses postpone postponed preclude prejudice prosecute prosecuted protest punitive purport purported purportedly purporting purports question quit reject reparation repudiate resign resignation restate restated restructuring revoke revokes sever solvency strain subjected subpoena sue sued sues suffer suffered suing suspend suspended terminate terminated termination terminations threat threaten threatened unable unavailability unemployment unfunded unintended unlawful unpaid unreasonably unrecovered unreimbursed unsatisfied violate violates violation,anticipate anticipated appear appearing approximate approximately arbitrary assume assumed assumes assumption assumptions believe believed conditional conditionally contingency contingent could depend dependent differ differs doubt exposure fluctuating fluctuation fluctuations hidden intangible may maybe might pending possible precaution precautionary presume presumed revise revised risk risks speculative tending unknown variable varied,able achieve achieved adequately advances advantage advantageous advantages assuring beneficial beneficially benefit benefited best conclusive conclusively confident desirable diligent diligently effective enable enhance enhancement exclusive favorable gain gains good great greater greatest honor improve improvement improvements leading opportunity perfect perfected progress satisfaction satisfactory satisfied satisfies satisfy succeed succeeding success win
26,0001193125-10-239760,EBAY,20101028,2010-10-28,8-K,absence accident accidents acquiesce adverse adversely against allegation allegations allege alleged alleges alleging annul bad bankrupt bankruptcy breach breaches break calamity cancel canceled cancellation catastrophe catastrophes cease ceased ceases challenging claims closed closing closure concern concerns conciliation conflict conflicted conflicts contested contrary corrupt corruptly crisis culpability cut damage damages decline default defaulted defaulting defaults defect defend defending defer delay deliberate destroy destroyed destruction deter disclose disclosed discontinue discontinued dispose dispute disputes disqualification disregard disregarded disrupt disruption disturb disturbance disturbances divest divestiture divestitures doubt downgrading downturn easing encumbrance encumbrances enjoin enjoining erred error expose fail failed fails failure fault faulted faults fined fines force forced forego fraud fraudulent guilty harm hazard hazardous hinder idle ill illegal impair impaired impede impracticable impractical inability inadequacy inadvertent inadvisable incapable incident incidents inconsistency inconsistent ineligible infringe infringement infringes injuries inquiry insolvency insolvent insufficient interfere interference interrupt interruption interruptions invalid invalidity investigate investigating investigation involuntary lapse late laundering lie limitation limitations liquidation liquidator litigant litigation lose losing loss losses lost lying malfunction malfunctions manipulation misconduct mislead misleading misrepresent misrepresentation miss moratorium negligence negligent noncompliance nonperformance objecting objection omission omissions omit omits omitted overdue penalties penalty plaintiff plea plead pleaded pled poses postpone preclude prejudice prejudiced preventing prosecute prosecuted purport question quit refusal refuse refused reparation resign resignation resigned resigns revocation revoke sever solvency stolen stoppage stoppages strain straining sue sued sues suffer suffered suing suspend suspended suspending suspension taint terminate terminated termination terminations threat threaten threatened threatening unable unavailable unaware unfavorable unfunded unlawful unpaid unreasonable unreasonably unsold unwilling usury violate violates violation violations weak weakness worse worsen worsening,ambiguity anticipation appear appearing assume assumed assumes assuming assumption assumptions believe believed believes believing conditional conditionally contingency contingent could depend dependent differ doubt fluctuation fluctuations intangible may might nonassessable pending possible predict predicted preliminary risk risks uncertain uncertainties variable variation variations vary varying,able achieve adequately advances advantage assure assured beneficial benefit best conclusive conclusively confident constructive effective empower empowered enable enabling exclusive exclusively favorable gain gains good great greater highest improve improvement improvements improving invent invention inventions leading opportunity profitably progress satisfaction satisfactory satisfied satisfies satisfy stability stabilization succeed succeeding success win
27,0000898822-15-000035,EBAY,20150123,2015-01-23,8-K,against allege breach breached breaches cease ceases ceasing closed closure closures concern conflict conflicts contradict contradicts contrary controversy criticism cut damage damages defeat defer delay delayed deny deprive deter disagree disagrees disclose disclosed disparage disparages disparaging dispute dissolution distract distraction distractions doubt easing erred fail failed fails failure fined force forego harm ill illegal illegality injunction injunctions injury irreparable late lie limitation liquidation litigation lose miss oppose opposed overage plea pleas poses postpone postponement postponements precluding quit refuse reject rejected rejects reparation resign resignation resigned resigning resigns restructuring sever standstill termination unable unfunded unreasonably violation voiding,ambiguities depend dependent depending doubt exposure may nearly pending risk,able beneficial beneficially benefit best confident delight delighted easily effective enable enabled enables encouragement encouraging excellent exciting exclusive exclusively favorable gain gained gains good great greater improving innovative leadership opportunities opportunity pleased profitability progress revolutionize revolutionized satisfaction satisfy strong success successful superior tremendous valuable win
28,0001065088-16-000311,EBAY,20160621,2016-06-21,8-K,break collapse cut ill lapse lie miss tense,depend dependent hidden possibilities,able effective empower empowering enable enabled exciting great greater innovative opportunity satisfy success vibrant win
29,0001065088-17-000037,EBAY,20170921,2017-09-21,8-K,break collapse cut fined ill lapse lie lying miss,hidden revise revised,able effective satisfy success win
30,0001193125-18-193051,EBAY,20180614,2018-06-14,8-K,break cut fined ill lie lying miss relinquish,revise revised,able effective satisfy win
31,0001065088-18-000042,EBAY,20181030,2018-10-30,8-K,break closed closing closure collapse conciliation conciliations crisis cut defer deter difficult disclosing discontinue discontinued divest divestiture divestitures downturn easing erred fined forego ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss poses quit restructuring sever taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible may nearly predict predicted recalculate revise revised risk risks uncertain uncertainties vary varying,able achieve achieved benefit easy effective empower empowering enable enabled enables enhance gain gains good great improve innovate invent inventor leading opportunities opportunity satisfy stability success successful successfully vibrant win
32,0001193125-14-230539,EBAY,20140609,2014-06-09,8-K,against break cut divest divestiture divestitures easing ill late lie litigation miss resign resignation resigned taint,assume assumes assumption assumptions believe could differ fluctuation fluctuations may nearly risk risks uncertain uncertainties vary varying,able best better easily easy effective enable enabled enables gain gains good great innovation leadership leading profitably satisfy stability strength strengthen strengthening strong success successful successfully win
33,0001193125-15-257121,EBAY,20150720,2015-07-20,8-K,absence absences abuse accident accidental adverse adversely against allege alleged alleging antitrust assault breach breached breaches breaching break cease ceases ceasing circumvent circumventing claiming claims closed closing closure closures concern concerns conciliation conflict conflicts contrary controversies controversy correcting correction corrections countermeasure countermeasures criminal cut damage damaged damages deceptive default defend defer deficiencies deficiency defraud degradation delay delayed delays deny destroy destroyed destroying destruction deter detriment detrimental disagree disagreement disagreements disagrees disaster disclaim disclaimer disclaimers disclose disclosed discloses disclosing discontinue discontinued discrepancies dispose disproportion disproportionate disproportionately dispute disputed disputes disregard disregarded disrupt disrupted disruption disrupts divest divesting divestiture doubt downturn easing erred erring error errors escalate escalated exploit exploitation expose exposed fail failed failing fails failure failures fault fined flaw flaws force forego forfeit forfeited forfeiture fraud frustrate frustrated frustrating harm hinder hindered hinders hostile ill illegal impair impaired impede impediment impracticable inaccuracy inaccurate inadequate incapable incident incomplete inconsistency inconsistent infringe infringement infringing injunction injunctions injury inquiry insolvent instability intentional interfere interferes interrupt interruption interruptions invalid invalidate invalidated investigate investigation investigations involuntary irreparable jeopardize knowingly lag lapse late lie limitation limitations liquidate litigation lose loses losing loss losses lost lying misappropriate misappropriation misconduct mislead misleading misrepresent misrepresentation miss negative negatively negligence nondisclosure nonrecoverable objection omission outage outages overage overpaid overpayment penalties penalty perjury poses posing postpone postponed postponement preclude precluded prejudice prejudiced prejudices preventing prevention prevents problem prosecute prosecution punitive purport purported question questions quit reassign reassignment reckless recklessness redact redacted redaction reject rejected reparation resign resignation resignations resigned restate restated serious sever shut sue sued sues suing suspend suspicion terminate terminated terminates termination testify threat threaten threatened threats trouble troubles unable unauthorized underpaid underpayment unemployment unfair unfavorably unlawful unpaid unqualified unreasonable unreasonably unrecoverable unreimbursed violate violating violation vulnerabilities vulnerability,alteration anticipate anticipated appear approximate approximately assume assumed assumes assuming assumption assumptions clarification conditional contingencies could depend dependencies dependent differ doubt indefinite indefinitely instability intangible likelihood may ordinarily pending possible preliminary recalculate recalculated revise revised risk sometime sometimes speculative tending uncertain unusual,able accomplish accomplished achieve achievement adequately beneficial benefit best charitable collaboration conclusive confident desirable despite diligent diligently effective enable enables enabling enhance enhancement enhancements enjoy exclusive exclusively exemplary favorable favorably favored gain gaining gains good great greater highest honor improve improvement improvements improving innovation innovations integrity invent invention inventions inventor leading loyal opportunities opportunity perfect positive resolve satisfaction satisfactory satisfied satisfies satisfy satisfying solving stability stable succeed succeeding success successful successfully valuable win
34,0001181431-12-055361,EBAY,20121023,2012-10-23,8-K,break cut disagree disagreement lie miss resign,,able effective satisfy win
35,0001065088-13-000114,EBAY,20130717,2013-07-17,8-K,break challenge closed collapse conciliation conciliations crisis cut decline declined delinquency deter difficult dispose dispute divest divested divestiture divestitures downturn easing erred fined forego fraud ill impair impairment lapse late lie limitation limitations litigation lose loss losses miss missed overage poses quit restructuring sever taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations hidden intangible intangibles may nearly predict predicted recalculate risk risks uncertain uncertainties vary varying,able benefit confident easily effective efficient enable enabled enables enhance gain gained gains good innovation innovative leadership opportunities profitably satisfy stability stable strong success successful successfully win
36,0001065088-11-000017,EBAY,20110720,2011-07-20,8-K,break closed collapse conciliation conciliations cut delinquency deter difficult divest divested divestiture divestitures easing erred fined forego fraud ill impair impairment impairments lapse late lie limitation limitations litigation lose loss losses miss missed poses quit restructuring sever taint,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ exposure fluctuation fluctuations hidden intangible intangibles may nearly predict predicted risk risks uncertain uncertainties vary varying,able achieve benefit easily effective enable enables enhance gain gains good improve improved innovation leadership leading positive positively profitably satisfy stability stable strength strengthen strengthened strong success successful successfully surpass surpassed surpassing win
37,0001193125-10-223868,EBAY,20101005,2010-10-05,8-K,absence against allege alleged alleging breach breached break cease ceased challenge challenges closed closing closure closures confine confined conflict contested contrary criminal cut defect defective defend defending destroy destroyed destruction deter disclose disclosed disinterested disqualification disqualified disregard disregarded erred fail fails failure fined fines force forced forego fraud harm ill illegal improper inability inadvertent incident intentional invalid invalidate lack late lie limitation limitations lose losing loss lost lying misconduct miss objecting omission penalties plea pleas pled poses posing postpone postponement prejudice question questions quit reject resign resignation resignations restate restated restatement revocation revocations revoke revoked stolen sue sued suffer suffered termination terminations threat threaten threatened unable violation volatility,appear appears believe believes could depend dependence dependent differ may might pending possible risk volatility,able advancement beneficial beneficially benefit best desired effective empower exclusive gain gains good great greater loyal opportunity pleasure satisfy succeed succeeding success win
38,0001065088-15-000227,EBAY,20150814,2015-08-14,8-K,break collapse concern cut deter discontinue discontinued erred forego ill impair impairment lapse late lie limitation limitations loss losses lying miss quit restructuring sever,appear appearing believe believes contingencies depend dependent differ hidden intangible may,able benefit enhance gain gains good satisfy win
39,0001193125-14-281395,EBAY,20140728,2014-07-28,8-K,adverse adversely against allegation allegations allege alleged alleges alleging annul arrears bankrupt bankruptcy breach breaches break calamity cease ceased ceases challenging claims closed closing closure concern concerns conflict conflicted conflicts contested contrary corrupt corruptly crisis culpability cut damage damages default defaulted defaulting defaults defect defend defending deter disclaim disclaimer disclose disclosed dispose dispute disputes disqualification disregard disregarded disrupt disruption divest divestiture divestitures doubt downgrading downturn easing encumbrance encumbrances erred error fail failed failure fault faulted faults fined fines force forced forego forfeit forfeiture forfeitures fraud fraudulent guilty harm hazard hazardous idle ill impracticable impractical inability inadvisable incident incidents inconsistency ineligible infringe infringement infringes injuries insolvency insufficient intentional interfere interference invalid invalidity investigate investigating investigation lapse late laundering lie limitation limitations litigation lose losing loss losses lying manipulation mislead misleading misrepresent misrepresentation miss moratorium noncompliance objecting objection omission omissions omit omitted overdue penalties penalty plaintiff plea plead pleaded pled poses postpone prejudice prejudiced preventing purport quit refusal refuse refused reparation restate restated revocation sever solvency sue sued sues suing suspend suspended suspending suspension taint terminate terminated termination threat threaten threatened threatening unavailable unaware unfavorable unfunded unlawful unpaid unsold violate violates violation violations weak weakness,ambiguity appear appearing appears approximate approximately assume assumed assumes assuming assumption assumptions conditional could depend dependent differ doubt fluctuation fluctuations may might pending possible predict predicted preliminary risk risks sometime sometimes uncertain uncertainties,able adequately assure benefit best conclusive effective enable enabling exclusive favorable gain gains good great greater highest invent invention inventions leading opportunity satisfaction satisfactory satisfied satisfies satisfy stability stabilization succeed succeeding success successful successfully win
