,date,ticker,neg_text,uncert_text,pos_text,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,period,an_buy,an_hold,an_sell,an_rating,an_d_p,an_d_0
22,2013-04-23,aapl,break closure cut disaster disasters disrupt error ill infringe infringed late lie limitation lose miss poses problem problems sue sued sues taint unfavorable,assume assumes believe could depend dependency differ may risk risks uncertain uncertainties,able advantage attractive best favorable innovation innovations invent invented inventor opportunities satisfy strong win,1,1,0,0,0,0,0,1.0,50.0,8.0,3.0,4.525,0,0
23,2013-04-24,aapl,adverse adversely against break cancel cancellation cancellations cancelled claims closed closing closure closures collapse conciliation contested contraction critical cut damage damages decline declines default defer deficiency deficit delay delayed depletion deter deterioration disclose disclosed discloses discontinue discontinued dispose doubt doubtful downward easing erred expose exposed fail failed failure failures false fault fined fines force forego forfeit forfeited forfeiture forfeitures ill impair impaired impairment impairments inconsistent ineffective ineffectiveness infringe infringement infringes investigation lack lacking lag lapse lapses late lie limitation limitations litigation lose loses losing loss losses lying miss misstate misstatement negative negatively obsolescence obsolete omit omitted overage overpayment penalties poses problem quit reluctant reparation sacrifice sacrifices sever shortage shortages strain strained sue sued sues taint terminate terminated terminating termination unable unanticipated uncollectible undelivered underpayment unforeseen unpredictable unqualified unresolved unsold unwilling verdict volatility,anticipate anticipated anticipates anticipation apparent approximate approximately approximates assume assumed assumes assuming assumption assumptions believe believed believes conditional contingencies contingent contingently could depend dependent depending differ doubt doubtful exposure exposures fluctuate fluctuates fluctuation fluctuations hidden indefinite indefinitely intangible intangibles likelihood may might pending possibility possible predict predicted predicting predicts preliminary probability probable random revise risk risks sometime sometimes uncertain uncertainties uncertainty unobservable unpredictable unsettled unspecified variability variable variance variances vary volatility,able achieve achieved achievement achieving advantage advantageous advantages benefit best better easily effective enhance enhanced enhancement enhancements favorable favorably gain gained gains good great greater highest improve improved improvement improvements innovative innovator invent inventor leading positive positively resolve satisfaction satisfied satisfy satisfying strength strengthen strengthening strong stronger succeed succeeding superior win,0,1,1,1,0,1,0,9.0,49.0,9.0,4.0,4.435,0,0
24,2013-05-03,aapl,absence adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure conflict contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclose disclosed dispose dispute disrupt disruption downgrading duress encumbrance encumbrances erred error fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible insolvency insufficient interfere interference investigating investigation late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss mistake misunderstand misunderstanding moratorium negative objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone postponed preventing quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailable undue unpaid violate violation,ambiguity appear appearing appears approximate approximately assume assumed assuming believe conditional depend dependent may pending possible preliminary,able benefit best effective enable exclusive gain gains good great greater highest leading opportunity satisfaction satisfactory satisfy succeed succeeding success win,1,1,1,0,0,0,0,49.0,48.0,12.0,3.0,4.413,0,0
25,2013-06-21,aapl,absence against break cut deter erred forfeit forfeited ill lie miss negative poses quit,assume assumed believe believed believes may risk,able achieve achievement enhance gain gains leadership leading opportunity positive satisfy strong win,0,0,0,1,1,1,1,32.0,47.0,13.0,3.0,4.381,0,0
26,2013-07-23,aapl,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best excited favorable innovation innovations invent invented inventor pleased satisfy strong win,0,1,1,1,0,1,0,7.0,46.0,13.0,3.0,4.371,0,0
27,2013-07-30,aapl,break cut ill lie miss,,able satisfy win,1,1,0,1,1,1,1,55.0,47.0,12.0,3.0,4.4030000000000005,0,0
28,2013-09-23,aapl,break cut forego ill lie limitation miss taint,assume assumes differ may risk risks uncertain uncertainties,able satisfy win,1,1,0,1,1,1,1,35.0,43.0,16.0,4.0,4.222,0,0
29,2013-10-28,aapl,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose loss miss plea pleas poses problem problems quit sue sued sues taint unfavorable,almost approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit excited favorable incredibly innovation innovations invent inventor pleased satisfy strong win,1,0,0,1,1,1,1,91.0,46.0,13.0,4.0,4.302,0,0
30,2014-01-27,aapl,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose loss miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best better favorable happy innovation innovations invent invented inventor loyal satisfied satisfy strong win,1,0,0,1,1,1,1,37.0,39.0,14.0,3.0,4.25,0,0
31,2014-03-05,aapl,absence acquit adverse adversely against alienate alienated alienation allege alleged bankrupt bankruptcy breach breached break cancel canceled cancellation cancelled cancelling cease ceased ceases challenge challenges claims clawback closed closing closure conflict contested contrary convict convicted correcting crime cut damage damages decline defect defend defending defer delay destroy destroyed destruction deter disapproval disclose disclosed discrepancy disinterested dismiss dismissal dispose dispute disqualification disregard disregarded dissolution divest divested divestiture divestitures easing embezzle embezzlement encumber encumbered encumbrance enjoin enjoined erred fail fails failure felony fined fines force forced forego forfeit forfeited forfeiture fraud harm ill illegal impair impairment impending inability incapacity incident inconsistency inconsistent insolvency interfere interferes invalid involuntarily lack lapse lapsed late lie limitation limitations liquidate liquidates liquidation litigating litigation lose losing loss losses lost lying miss negative neglect objection omission omissions omit omitted oppose opposed penalty perjury plea pleas pled poses postpone postponement preclude prejudice protest protesting question questions quit refusal refuse refuses resign resignation resigned restate restated restatement revocation revoke revoked sever solvency stolen sue sued suffer suffered suspend suspends suspension terminate terminated termination terminations unable unauthorized unfunded unpaid unsound writeoff writeoffs,ambiguity anticipation appear appearing appears assume assumed assumes assumption contingent depend dependent differ hidden indefinite may might nearly pending possible tending unusual variable varies,able accomplish achieve achievement assure attain attains beneficial beneficially benefit best conclusive confident desirable desired distinction distinctions effective empower empowered enable enables exclusive exclusively favorable gain gains good great greater highest invent inventor opportunity pleasure satisfaction satisfactory satisfied satisfies satisfy succeed succeeding success successful valuable win,1,0,0,1,1,0,1,49.0,39.0,15.0,3.0,4.228,0,0
32,2014-04-23,aapl,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation loss miss poses problem problems quit sue sued sues taint unfavorable,almost approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best favorable innovation innovations invent invented inventor satisfy strong win,0,1,1,0,0,0,0,0.0,42.0,14.0,3.0,4.288,0,0
33,2014-04-23,aapl,break closure cut disaster disasters disrupt easing error ill infringe infringed late lie limitation lose miss poses problem problems sue sued sues taint unfavorable,approximate approximately assume assumes could depend dependency differ may risk risks uncertain uncertainties,able best confident favorable happy innovation innovations invent invented inventor satisfy tremendous win,0,1,1,1,1,1,1,13.0,42.0,14.0,3.0,4.288,0,0
34,2014-05-06,aapl,absence adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure conflict contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclose disclosed dispose dispute disrupt disruption downgrading duress encumbrance encumbrances erred error fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible insolvency insufficient interfere interference investigating investigation late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss mistake misunderstand misunderstanding moratorium negative objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone postponed preventing quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailable undue unpaid violate violation,ambiguity appear appearing appears approximate approximately assume assumed assuming believe believes conditional depend dependent may pending possible preliminary,able benefit best effective enable exclusive gain gains good great greater highest leading opportunity satisfaction satisfactory satisfy succeed succeeding success win,0,0,0,1,1,1,1,24.0,42.0,14.0,3.0,4.288,0,0
35,2014-05-30,aapl,break closed closure cut deter disclose disclosed ill lie lose miss,may,able effective satisfy succeed succeeds win,0,0,0,1,0,1,0,7.0,42.0,14.0,3.0,4.288,0,0
36,2014-06-06,aapl,adverse adversely breach break cut damage damages disinterested fined forego late lie miss sue,may,able effective satisfy win,0,1,1,1,1,0,1,41.0,42.0,15.0,3.0,4.267,0,0
37,2014-07-17,aapl,break cut ill lie miss,,able satisfy win,0,0,1,0,0,0,0,5.0,44.0,12.0,3.0,4.356,0,0
38,2014-07-22,aapl,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose loss miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best excited favorable highest incredibly innovation innovations invent invented inventor satisfy strong win,1,1,1,0,0,0,1,1.0,46.0,11.0,3.0,4.383,0,0
39,2014-07-23,aapl,absence against break claims concern contrary criminal culpable cut damage damages delay discourage disregard dissolution erred fines forego ill improper inattention injunction injunctions injury intentional late lie limitation limitations liquidation misconduct miss negligent omission omissions quit reckless serious threat threaten threatened unexcused unlawful violation,believe believed believes may might nonassessable risk,able benefit best effective gain gains good satisfy win,1,1,0,0,1,1,1,89.0,46.0,11.0,3.0,4.383,0,0
40,2014-10-20,aapl,against break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose loss miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may pending risk risks uncertain uncertainties,able benefit best excited favorable gain gains great incredibly innovation innovations invent invented inventor satisfy strong strongest win,1,1,1,1,1,1,1,21.0,45.0,11.0,3.0,4.373,0,0
41,2014-11-10,aapl,adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclaim disclose disclosed dispose dispute disrupt disruption downgrading encumbrance encumbrances erred fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible insolvency insufficient interfere interference investigating investigation late lie limitation limitations lose loses losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone preventing quit reparation reparations restate restated sever solvency sue sued suspend suspending suspension terminate terminated termination threat threaten threatened threatening unable unavailable unpaid unwilling violate violation,ambiguity appear appears assume assumed assuming assumption assumptions believe conditional conditionally depend dependent may might pending possible preliminary,able beneficial benefit best effective enable exclusive gain gained gains good great greater leading opportunity satisfaction satisfactory satisfy succeed succeeding success win,0,1,1,1,0,0,0,78.0,44.0,11.0,3.0,4.362,0,0
42,2015-01-27,aapl,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose loss miss poses problem problems quit sue sued sues taint unfavorable,almost approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able achieve benefit best exceptional favorable incredible innovation innovations invent invented inventor satisfy win,0,1,1,0,0,0,0,1.0,40.0,14.0,2.0,4.3039999999999985,0,0
43,2015-01-28,aapl,adverse adversely against alleging arrears bankrupt bankruptcy break cancel cancellation cancellations cancelled claims closed closing closure closures collapse conciliation critical cut damage damages decline declined declines default defer deficit delay delayed depletion deprecation deter deterioration disclose disclosed discloses discontinue discontinued doubt doubtful downward easing erred expose exposed fail failed failure failures false fault fined fines force forego forfeit forfeited forfeiture forfeitures ill impair impaired impairment impairments inconsistent ineffective ineffectiveness infringe infringed infringement infringes investigation lack lacking lag lapse lapses late lie limitation limitations liquidation litigation lose loses losing loss losses lying miss misstate misstatement negative negatively noncompliance obsolescence obsolete omit omitted overage overpayment penalties penalty plaintiff poses posing quit reluctant reparation sacrifice sacrifices sever shortage shortages strain strained sue sued sues suing taint terminate terminated terminating termination unable unanticipated uncollectible undelivered underpayment unemployment unfavorable unforeseen unpaid unpredictable unqualified unsold unwilling verdict weak weakness,anticipate anticipated anticipates anticipation apparent approximate approximately approximates assume assumed assumes assuming assumption assumptions believe believed believes conditional contingencies contingency contingent contingently could depend dependent depending differ doubt doubtful exposure exposures fluctuate fluctuates fluctuation fluctuations hidden indefinite indefinitely intangible intangibles likelihood may might pending possibility possible predict predicted predicts preliminary probability probable revise risk risks sometime sometimes uncertain uncertainties uncertainty unobservable unpredictable unsettled unspecified unusual variability variable vary varying,able achieve achievement achieving advantage advantageous benefit best better collaboration effective enhance enhanced enhancement enhancements favorable gain gained gains good great greater highest improve improved improvement improvements invent inventor leading positive resolve reward rewards satisfaction satisfied satisfy satisfying strength strengthen strengthening strong strongest succeed succeeding success successful win,1,1,1,1,0,1,1,12.0,40.0,14.0,2.0,4.3039999999999985,0,0
44,2015-02-09,aapl,absence adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure conflict contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclose disclosed dispose dispute disrupt disruption downgrading duress encumbrance encumbrances erred error fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible insolvency insufficient interfere interference investigating investigation late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss mistake misunderstand misunderstanding moratorium negative objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone postponed preventing quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailable undue unpaid violate violation,ambiguity appear appearing appears approximate approximately assume assumed assuming believe believes conditional depend dependent may pending possible preliminary,able benefit best effective enable exclusive gain gains good great greater highest leading opportunity satisfaction satisfactory satisfy succeed succeeding success win,1,1,1,0,0,0,0,32.0,38.0,14.0,2.0,4.296,0,0
45,2015-03-13,aapl,absence adverse adversely against break broken cancel cancellation cancelled cease closing collapse contrary cut defer delay delays deter disaffiliation dispose erred fail failure forego ill ineligible insufficient lack lapse late lie limitation limitations liquidate liquidated liquidation lose losing miss mistake mistakes pled poses question quit resign resignation restate restated shut shutdown sue sued suspend terminate terminated termination terminations violate violation,approximate approximately depend dependent differ may possible risk unusual,able attain attains benefit conclusive desirable effective enable favorable gain gains good satisfies satisfy success win,0,1,1,1,1,1,1,45.0,38.0,13.0,2.0,4.3210000000000015,0,0
46,2015-04-27,aapl,break closure cut disaster disasters disrupt error ill infringe infringed late lie limitation lose miss poses problem problems sue sued sues taint unfavorable,assume assumes believe could depend dependency differ may revise revised risk risks uncertain uncertainties,able best favorable innovation innovations invent invented inventor satisfy strong win,1,1,0,1,1,1,1,0.0,35.0,16.0,2.0,4.208,0,0
47,2015-04-27,aapl,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best exciting favorable innovation innovations invent invented inventor satisfy strength tremendous win,1,1,0,1,1,1,1,16.0,35.0,16.0,2.0,4.208,0,0
48,2015-05-13,aapl,absence adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure conflict contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclose disclosed dispose dispute disrupt disruption downgrading duress encumbrance encumbrances erred error fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible insolvency insufficient interfere interference investigating investigation late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss mistake misunderstand misunderstanding moratorium negative objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone postponed preventing quit reparation reparations sever solvency sue sued sues suspend suspending suspension terminate terminated termination threat threaten threatened threatening unavailable undue unpaid violate violation,ambiguity appear appearing appears approximate approximately assume assumed assuming believe believes conditional depend dependent may pending possible preliminary,able benefit best effective enable exclusive gain gains good great greater highest leading opportunity satisfaction satisfactory satisfy succeed succeeding success win,1,1,1,0,0,0,0,28.0,36.0,15.0,2.0,4.245,0,0
49,2015-06-10,aapl,adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclaim disclose disclosed dispose dispute disrupt disruption downgrading encumbrance encumbrances erred fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible insolvency insufficient interfere interference investigating investigation late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone preventing quit reparation reparations restate restated sever solvency sue sued suspend suspending suspension terminate terminated termination threat threaten threatened threatening unable unavailable unpaid unwilling violate violation,ambiguity appear appears assume assumed assuming assumption assumptions believe conditional conditionally depend dependent may might pending possible preliminary,able beneficial benefit best effective enable gain gained gains good leading opportunity satisfaction satisfactory satisfy succeed succeeding success win,1,1,0,1,1,1,1,41.0,36.0,14.0,2.0,4.269,0,0
50,2015-07-21,aapl,break closure cut defer disaster disasters disrupt easing erred error ill infringe infringed late lie limitation lose miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may risk risks uncertain uncertainties,able benefit best better breakthrough empower excitement favorable great incredible innovation innovations invent inventor revolutionize revolutionized satisfy strong success successful win,0,0,0,0,0,0,0,10.0,37.0,12.0,2.0,4.333,0,0
51,2015-07-31,aapl,adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclaim disclose disclosed dispose dispute disrupt disruption downgrading encumbrance encumbrances erred fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible insolvency insufficient interfere interference investigating investigation late lie limitation limitations lose loses losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone preventing quit reparation reparations restate restated sever solvency sue sued suspend suspending suspension terminate terminated termination threat threaten threatened threatening unable unavailable unpaid unwilling violate violation,ambiguity appear appears assume assumed assuming assumption assumptions believe believes conditional conditionally depend dependent hidden may might pending possible preliminary,able beneficial benefit best effective enable exclusive gain gained gains good great greater leading opportunity satisfaction satisfactory satisfy succeed succeeding success win,0,0,0,1,1,0,1,48.0,37.0,13.0,2.0,4.308,0,0
52,2015-09-17,aapl,adverse adversely against allege alleged arrears bankrupt bankruptcy breach break calamity cease ceases claims closed closure concern conflict contrary crisis culpability cut damage damages default defaulting defaults defect defend defending deter disapprove disapproved disclaim disclose disclosed dispose dispute disrupt disruption downgrading encumbrance encumbrances erred fail failed failure fault faults fined force forego fraud fraudulent guilty harm ill impracticable inadvisable incident inconsistency inconsistent ineligible insolvency insufficient interfere interference investigating investigation late lie limitation limitations lose loses losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative objection omission omissions omit omits omitted oppose opposed overdue plea pleas pled poses postpone preventing quit reparation reparations restate restated sever solvency sue sued suspend suspending suspension terminate terminated termination threat threaten threatened threatening unable unavailable unpaid unwilling violate violation,ambiguity appear appears assume assumed assuming assumption assumptions believe believes conditional conditionally depend dependent hidden may might pending possible preliminary,able beneficial benefit best effective enable exclusive gain gained gains good great greater leading opportunity satisfaction satisfactory satisfy succeed succeeding success win,0,0,0,0,0,0,0,15.0,39.0,10.0,2.0,4.412,0,0
53,2015-10-02,aapl,break cut ill lie miss,,able satisfy win,1,1,1,1,1,1,1,25.0,40.0,10.0,2.0,4.423,0,0
54,2015-10-27,aapl,break closure cut defer disaster disasters disrupt erred error ill infringe infringed late lie limitation lose miss poses problem problems quit sue sued sues taint unfavorable,approximate approximately assume assumes contingencies could depend dependency differ hidden intangible may nearly risk risks uncertain uncertainties,able benefit best better breakthrough empower favorable innovation innovations innovative invent inventor revolutionize revolutionized satisfy strong strongest success successful tremendous win,0,1,1,0,0,0,0,51.0,44.0,7.0,2.0,4.547,0,0
55,2015-12-17,aapl,break closure cut ill lie miss,,able satisfy win,0,0,0,1,1,0,1,5.0,45.0,7.0,1.0,4.623,0,0
