,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
10,0001104659-16-116198,INTERNATIONAL,20160429,2016-04-29,8-K,break closure collapse cut lapse lie miss,depend dependent,able encourages gain gains satisfy win
11,0001104659-16-162609,INTERNATIONAL,20161216,2016-12-16,8-K,break collapse cut fined ill lapse lie miss,,able effective encourages satisfy win
12,0001104659-17-014730,INTERNATIONAL,20170307,2017-03-07,8-K,adverse break challenging closed closure collapse concern conciliation costly counterfeit crisis cut delay delayed deter disrupt disrupting easing false fines force harm ill imperative lapse late lie lose miss plea pleas poses prevention quit seizing threat threats uncover wasted,alteration alterations assume assumes assumption assumptions could depend differ may pending predict prediction predictions revise risk uncertain variation,able best collaboration efficiencies efficiency enable enabled encourages enhance enhanced favorite improve improvement improvements improving innovating innovation invent invention leadership leading opportunities opportunity positive satisfy win
13,0001104659-16-090528,INTERNATIONAL,20160120,2016-01-20,8-K,break challenge challenges closed collapse concern conciliation critical cut decline declined declines declining disrupt disrupted divest divestiture divestitures easing force ill imperative lapse late lie lose losing lying miss plea pleas question questions quit recall weak weaker weakness,almost assumption assumptions could differ may nearly pending roughly suggest suggested,able advantage benefit confident easily easy effective efficiency efficient efficiently enable enables encourages gain gains good great greater improve improvement innovation innovations invent inventor leading opportunities opportunity pleased premier progress satisfy strength strengthen strengthening strong strongest success successful tremendous tremendously valuable win
14,0001104659-19-002994,INTERNATIONAL,20190123,2019-01-23,8-K,break challenge challenges closing closure collapse concern concerned conciliation conciliations critical cut decline declined declines divest divested divestiture divestitures easing fined force forego foregone hurt ill imperative lack lapse late lie lose losing lying miss plea pleas poses question questions recall seize sever sue sues threat threats voiding volatility worse,anticipate anticipated approximate approximately assume assumes assumption assumptions could depend dependent differ may nearly pending predict predictability revise revised risk roughly suggest suggested volatility,able achieve achieved achievement achieving advantage benefit best better collaboration confident despite efficiencies efficiency enable enables enabling encourages gain gains good great improve improved improvement improving innovation innovations innovative invent inventor opportunities opportunity positive satisfy stability stabilize stabilized strength strengthen strengthening strong success successful win
15,0001104659-14-072479,INTERNATIONAL,20141020,2014-10-20,8-K,against break challenge challenges challenging closed closing collapse concern conciliation critical cut decline declined declines defer deter discontinue discontinued divest divested divestiture divestitures drag erred fined force ill imperative insufficient lapse late lie lose losing loss losses lost lying miss overage plea pleas question questions quit renegotiation renegotiations sever shortfall slow slowdown sue sues unfavorable weak weaker weakness,approximate approximately could differ may nearly pending roughly unusual variable,able alliance benefit better collaboration easier effective enable enables enabling encourages favorable gain gains good great greater improve improved improvement improves innovate innovation innovations leadership opportunities progress satisfy smooth stability strength strengthen strengths strong strongest success successful win
16,0001104659-16-126857,INTERNATIONAL,20160613,2016-06-13,8-K,absence acquit adverse against allegation allegations allege alleged allegedly alleges alleging bad bankrupt bankruptcy breach breached break cancel canceled cancellation cancellations cancelled catastrophic cease ceased ceases challenge challenges challenging claiming claims closed closing closings closure closures collapse complain complaint complaints concern conciliation conciliations contested correction corrections counterclaim counterclaims critical curtail curtailment curtailments cut damage damages decline declined declines declining default defaulted defend defendant defendants defer deficit delay delayed demolish demolished denied depleting depletion deprecation deter deteriorate deterioration devalue devalued deviate deviation difficult disagree disagrees disclose disclosed discloses disclosing discontinuation discontinue discontinued discontinuing dismiss dismissal dismissed dispose dispute disrupt disrupted divest divested divesting divestiture divestitures doubt doubtful downturn downward easing erosion erred erring error excessive exploit expose exposed fail failing fails failure false fault faulted fined fines force forced forcing foreclosure foreclosures forego foregone forfeit forfeited forfeiture forfeitures fraud fraudulent harm ill illegal illiquid impair impaired impairment impairments imperative improper inadequate incident inconsistent ineffective ineffectiveness infringe infringement injuries insolvency interfere interference intrusion investigating investigation investigations lack lacking lag lapse lapsed lapses late lie limitation limitations liquidation litigation lose loses losing loss losses lost lying mismatch mismatches misrepresent misrepresentation misrepresentations miss missed misstate misstatement misstatements negative negligence noncompliance nonfunctional nonperforming nuisance outdated overage overpayment penalties penalty plaintiff plaintiffs plea pleas pled poses posing prevention protest protracted punitive question questions quit reassessment reckless recklessness reject rejected rejecting reparation repossessing repossession repossessions restructuring restructurings sacrifice sacrifices sever severe slow slowdown solvency strain strained subjected sue sued sues suing taint terminate terminated terminates terminating termination terminations threat threats trouble troubled unable unanticipated unauthorized uncollectibility uncollectible uncover undelivered underfunded underpayment undue unexpected unfair unforeseen unfulfilled unfunded unpaid unpredictable unprofitable unreliable unsold unsuccessful violate violated violation violations volatile volatility vulnerabilities weak weaken weakening weaker weakness worse writedown writedowns,almost anticipate anticipated anticipates anticipation apparent appear appearing appears approximate approximately approximates approximation assume assumed assumes assuming assumption assumptions believe believed believes conditional conditionally contingencies contingency contingent contingently could depend dependence dependency dependent depending depends deviate deviation differ differing differs doubt doubtful exposure exposures fluctuating fluctuation fluctuations hidden indefinite indefinitely indeterminate intangible intangibles likelihood may might nearly occasionally pending possible predict prediction predictions predictive probabilities probability probable reassess reassesses reassessment revise revised risk risks sometime sometimes tending uncertain uncertainties uncertainty unexpected unguaranteed unobservable unpredictable unsettled unspecified variability variable variables varied vary varying volatile volatility,able achieve achieved achievement achieving advances advancing advantage alliance alliances assure assured attractive benefit benefited benefiting benefitted best better bolstered bolstering breakthrough breakthroughs collaboration constructive creative despite easier easily effective efficiencies efficiency efficient efficiently empower enable enabled enables enabling encourages enhance enhancement enhancements exclusive exclusively favorable favorably gain gained gains good great greater highest honor honoring improve improved improvement improvements improves improving innovation innovations innovative invent invention inventions inventor leadership leading opportunities opportunity positive premier proactive profitability profitable progress resolve satisfaction satisfied satisfy satisfying smooth stabilize stable strength strengthen strengthened strengthening strengthens strong stronger strongest succeed succeeding success successful superior transparency tremendous tremendously unparalleled valuable win
17,0000950157-15-000867,INTERNATIONAL,20150804,2015-08-04,8-K,adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure collapse concern conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack lapse late lie limitation limitations lose loses losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed question questions quit refusal reparation sever solvency sue sued suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable unpaid,assume assumed believe conditional could depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately beneficial benefit best charitable conclusive effective enable enabling exclusive gain gains good great greater leading satisfaction satisfactory satisfied satisfy succeed succeeding success win
18,0001104659-16-090677,INTERNATIONAL,20160120,2016-01-20,8-K,break collapse concern cut ill imperative lapse late lie lying miss question,could differ may possible,able bolstering encourages good improve improved improvement satisfy tremendous win
19,0001104659-16-100072,INTERNATIONAL,20160225,2016-02-25,8-K,against break closing closure closures collapse conciliation critical curtail curtailment curtailments cut declining deter divest divested easing fined fines ill imperative insolvency lapse late lie lose losing loss losses lying miss quit restructuring sever solvency weak weaken weakens,approximate believe believes could differ fluctuation fluctuations intangible may,able better effective efficiency enable enabled enables encourages gain gains improve improves innovation invent inventing opportunities opportunity progress satisfy stable strength strengthen strengthens strong transparency win
20,0001104659-19-000561,INTERNATIONAL,20190103,2019-01-03,8-K,break closing collapse crisis critical cut declining divest divested easing fined ill lapse late lie lose losing loss lying miss,differ revise revised risk,able attractive attractiveness encourages improve improves innovative satisfy stable success successful win
21,0001104659-14-072335,INTERNATIONAL,20141020,2014-10-20,8-K,bad break challenging closed closing collapse critical cut decline discontinue discontinued divest divested divesting divestiture easing erred force ill impair impairment lack lacked lapse late lie lose losing loss losses miss plea pleas quit,approximate approximately differ nearly,able achieve achieved benefit best bolsters breakthrough breakthroughs collaboration enable enables encourages exclusive gain improve improving innovation innovations leadership leading opportunities progress progresses satisfaction satisfy strength strengthen strengthens unparalleled win
22,0001104659-16-112501,INTERNATIONAL,20160419,2016-04-19,8-K,break broken closed closure collapse concern conciliation critical cut decline drag easing fined force ill imperative incident lapse late lie lose losing loss lying miss negative plea pleas problem problems question questions quit recall sever underutilization volatile weak weakness,anticipate anticipated believe could differ exposure may maybe nearly pending uncertain volatile,able achieve benefit best better collaborative confident effective efficiency enable enabling encouraged encourages enhance enhanced gain good great greater improve improved improvement improvements improving innovation innovations innovative leadership leading opportunity progress satisfy solving stability stable strength strengthen strengthened strong success valuable win
23,0001104659-15-052063,INTERNATIONAL,20150721,2015-07-21,8-K,bad break closed collapse concern conciliation critical cut decline declined declining divest divested divestiture divestitures easing force ill imperative investigation lapse late lie lose losing miss plea pleas pled question questions recall sever threat threats volatility weak weakness,almost believe could depend dependent depends differ may nearly pending roughly variable volatility,able achieve achieved alliance benefit benefitted best better boost breakthrough collaboration effective enable encourages encouraging enhancing gain gaining gains good great greater highest improve improved improvement improves improving innovation innovations innovative invent inventor leadership leading opportunity profitability progress satisfy stable strength strengthen strengthening strong stronger strongest valuable win
24,0001104659-17-073622,INTERNATIONAL,20171215,2017-12-15,8-K,absence against allege alleged breach breached break catastrophe cease ceased ceases closed closing collapse concern confine confined conflict contested contrary convict convicted criminal cut damage damages defect destroy destroyed destruction deter disaster disclose disclosed disclosing dispose disregard disregarded dissent erred fail failed fails failure fined fines force forego harm ill inability incapable incapacity incident inconsistent ineligible invalid lapse late lie limitation limitations lose loses losing loss lost lying mislead misleading miss omission omissions omit omits omitted pled poses purport purports question recall recalled refuse reject rejecting resign resignation resigned restate restated restatement restatements sever sue sued terminate termination terminations threat threaten threatened unable unavailable violate violation violations,appear appearing assume believe believes clarification clarifications depend dependence dependent indeterminate may might pending revise revised risk tending,able advances beneficial beneficially benefit best confident desired effective efficient empower empowered encourages gain gains good great greater highest leading opportunity resolve satisfactory satisfies satisfy satisfying solves succeed succeeding success successful successfully valuable win
25,0001104659-16-150652,INTERNATIONAL,20161018,2016-10-18,8-K,break closure collapse concern conciliation conciliations critical cut decline declined declines declining drag erred escalating fined force ill imperative lapse late lie losing lying miss plea pleas question questions quit recall sever volatility weak weaker,almost approximate approximately believe believes could differ may nearly pending risk risks sometime sometimes tending uncertain variable volatility,able achieve alliance attractive attractiveness benefit best better easier easily easy effective efficiencies efficient empower enable enabling encourages gain gains good great improve improved improvement improvements innovate innovation innovative integrity invent inventing leadership leading opportunities opportunity proactive proactively progress satisfy stability stabilizing stable strength strengthen strong success successful tremendous win
26,0001104659-17-049917,INTERNATIONAL,20170807,2017-08-07,8-K,break caution cautioned closing closure closures collapse cut fined ill lapse lie losing lying miss sue sued voiding,approximate approximately may revise revised,able encourages satisfy win
27,0000950157-16-001681,INTERNATIONAL,20160304,2016-03-04,8-K,adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cancellation cease claims closed closure collapse concern conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack lapse late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed question questions quit refusal reparation sever solvency sue sued suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable unpaid,alteration assume assumed believe conditional could depend dependent differ may pending possible preliminary sometime sometimes variation varied vary,able adequately beneficial benefit best charitable conclusive effective enable enabling gain gains good great greater leading satisfaction satisfactory satisfied satisfy succeed success win
28,0001104659-19-010648,INTERNATIONAL,20190226,2019-02-26,8-K,break breaking collapse cut fined ill lack lag lapse lie lying miss,revise revised,able effective encourages great honor honors leadership satisfy win
29,0001104659-15-014119,INTERNATIONAL,20150226,2015-02-26,8-K,adverse against break closure collapse concern conciliation critical curtail curtailment curtailments cut decline declines deter divest divestiture downturn easing fail failure fined fines force ill imperative ineffective insolvency lapse late lie loss losses lying miss quit restructuring solvency taint weak weaken weakens,assume assumes assumption assumptions believe believes could differ fluctuation fluctuations intangible may pending revise risk risks uncertain uncertainties,able advancement advancements advantage alliance alliances attractive benefit better effective efficiency enable enables encourages enhance enhanced gain gains great greater ideal improve improves innovation invent invented inventing invention opportunities profitable progress satisfy stabilize stabilized stable strength strengthen strengthens strengths strong success successful successfully transparency win
30,0001104659-16-087756,INTERNATIONAL,20160104,2016-01-04,8-K,absence against allege alleged break catastrophe cease ceased ceases closed collapse concern confine confined contested contrary criminal cut destroy destroyed destruction deter disaster disclose disclosed dispose dissent erred fail failure fined fines force forego ill inability incapable incapacity incident inconsistent lapse late lie limitation limitations lose loss lost miss omission omissions pled poses question refuse reject rejecting resign resignation resigned restate restated restatement restatements sever sue sued terminate termination threat threaten threatened unable unavailable,appear appearing depend dependent indeterminate may might tending,able advances beneficial beneficially benefit best desired effective efficient empower empowered encourages gain gains good satisfy succeed succeeding success successful successfully valuable win
31,0001104659-15-024742,INTERNATIONAL,20150331,2015-03-31,8-K,break collapse cut divest divested divestiture ill lapse lie miss,approximate approximately,able benefit encourages gain gains great greater innovation innovations satisfy win
32,0001104659-16-090410,INTERNATIONAL,20160119,2016-01-19,8-K,adverse against break closed closing collapse concern conciliation critical curtail curtailment curtailments cut defer deter disclose disclosed discontinue discontinued divest divested divestiture divestitures downturn easing erred fail failure fined fines force ill imperative ineffective insolvency lack lapse late lie lose losing loss losses lying miss overage pled quit restructuring sever solvency taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could differ fluctuation fluctuations intangible may nearly pending revise risk risks uncertain uncertainties,able alliance alliances benefit better effective efficiency enable enables encourages gain gains good great greater improve improves innovation invent inventor opportunities progress satisfy strength strengthen strengthened strengthens strong success successful successfully transparency win
33,0000950157-17-000137,INTERNATIONAL,20170126,2017-01-26,8-K,absence adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure collapse conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred error fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack lapse late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed postponement question questions quit refusal reparation sever solvency sue sued sues suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable,appear appearing appears approximate approximately assume assumed assuming believe conditional depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately benefit best charitable conclusive effective enable enabling gain gains good great greater highest leading satisfaction satisfactory satisfied satisfy succeed succeeding success win
34,0001104659-17-037831,INTERNATIONAL,20170607,2017-06-07,8-K,break closed closure collapse cut disclose disclosed fined lapse late lie lose lying miss,revise revised,able achieve encourages satisfy win
35,0000950157-15-000168,INTERNATIONAL,20150205,2015-02-05,8-K,absence adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cease claims closed closure conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred error fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed postponement question questions quit refusal reparation sever solvency sue sued sues suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable,appear appearing appears approximate approximately assume assumed assuming believe conditional depend dependent differ may pending possible preliminary sometime sometimes varied vary,able adequately benefit best charitable conclusive effective enable enabling gain gains good great greater highest leading satisfaction satisfactory satisfied satisfy succeed succeeding success win
36,0001104659-15-000998,INTERNATIONAL,20150107,2015-01-07,8-K,absence against allege alleged break catastrophe cease ceased ceases closed collapse concern confine confined contested contrary criminal cut destroy destroyed destruction deter disaster disclose disclosed dispose dissent erred fail failure fined fines force forego ill inability incapable incapacity incident inconsistent lapse late lie limitation limitations lose loss lost miss omission omissions pled poses question refuse reject rejecting resign resignation resigned restate restated restatement restatements sever sue sued terminate termination threat threaten threatened unable unavailable,appear appearing depend dependent indeterminate may might tending,able advances beneficial beneficially benefit best desired effective efficient empower empowered encourages gain gains good satisfy succeed succeeding success successful successfully valuable win
37,0001104659-16-133151,INTERNATIONAL,20160719,2016-07-19,8-K,break closed closure collapse concern conciliation conciliations critical cut decline declined declines declining drag fined force harm ill incident inconsistency lapse late lie lose losing miss plea pleas question questions quit recall sue sues weak weaker weakness,approximate approximately believe believes could differ may nearly pending predict variable varied,able advantage benefit better breakthrough collaborate collaborative easier easily effective efficiency enable enabled enables encourages gain gains good great impress improve improved improvement improvements innovation innovations innovative leadership leading opportunities progress resolve satisfy stable strength strong strongest success successful win
38,0001104659-15-067730,INTERNATIONAL,20150928,2015-09-28,8-K,break collapse cut ill lapse lie miss,,able delight delighted effective encourages satisfy win
39,0000950157-19-000098,INTERNATIONAL,20190130,2019-01-30,8-K,adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cancellation cease claims closed closure collapse concern conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack lapse late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas poses postpone postponed question questions quit refusal reparation sever solvency sue sued suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable unpaid,alteration assume assumed believe conditional could depend dependent differ may pending possible preliminary revise revised sometime sometimes variation vary,able adequately beneficial benefit best charitable conclusive effective enable enabling gain gains good great greater leading satisfaction satisfactory satisfied satisfy stabilization succeed success win
40,0001104659-15-071368,INTERNATIONAL,20151019,2015-10-19,8-K,adverse against break closed closing collapse concern conciliation critical curtail curtailment curtailments cut decline declines deter disclose disclosed discontinue discontinued divest divested divestiture downturn easing erred fail failure fined fines force ill imperative ineffective insolvency lack lapse late lie lose losing loss losses lying miss overage pled quit restructuring sever solvency taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could differ fluctuation fluctuations intangible may pending revise risk risks uncertain uncertainties,able alliance alliances benefit better effective efficiency enable enables encourages gain gains good improve improves improving innovation invent inventor opportunities progress satisfy strength strengthen strengthens strong success successful successfully transparency win
41,0001104659-18-006242,INTERNATIONAL,20180202,2018-02-02,8-K,break collapse cut deter fined ill lack lapse lie lying miss quit,revise revised,able encourages satisfy win
42,0001104659-16-133009,INTERNATIONAL,20160718,2016-07-18,8-K,adverse against break closed closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut decline declines deter disclose disclosed discontinue discontinued downturn easing erred fail failure fined fines ill imperative inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss overage plea pleas quit restructuring sever solvency sue sues taint weak weaken weakened weakens,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may nearly pending revise risk risks uncertain uncertainties unknown,able alliance alliances benefit better breakthrough breakthroughs effective efficiency enable enabled enables encourages enhance gain gains good improve improved improvement improves innovation innovations leadership leading opportunities satisfy strength strengthen strengthens strong success successful successfully transparency win
43,0001104659-18-045757,INTERNATIONAL,20180718,2018-07-18,8-K,adverse against break closed closure collapse concern conciliation conciliations critical curtail curtailment curtailments cut damage decline deter disclose disclosed discontinue discontinued downturn easing erred fail failure fined fines ill imperative inconsistent ineffective insolvency lack lapse late lie lose loss losses lying miss plea pleas pled poses quit restructuring sever solvency sue sues taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could depend dependent differ fluctuation fluctuations intangible intangibles may pending revise revised risk risks uncertain uncertainties,able alliance alliances benefit better effective efficiencies efficiency enable enables encourages gain gains great greater improve improved improvement improves innovation innovative leadership opportunities progress satisfy strength strengthen strengthens strong success successful successfully transparency win
44,0001104659-18-003059,INTERNATIONAL,20180119,2018-01-19,8-K,break closed closure collapse concern concerned conciliation conciliations critical cut decline declined declines delay delayed difficult disappoint disappointed fined force fraud hurt ill imperative lag lapse late lie lose losing lying miss pervasive plea pleas poses question questions quit recall sever weak weakness,almost anticipate approximate approximately assumption assumptions believe believes could differ may nearly pending revise revised risk roughly varied,able advancement advancements benefit better breakthrough breakthroughs collaborate collaborated collaboration delight delighted effective efficiency efficient enable enabled encourages excellence gain gained good great highest improve improved improvement improving innovate innovation innovative invent leadership leading opportunities opportunity progress satisfy stabilization stable strength strong stronger success successful valuable win
45,0001104659-15-033012,INTERNATIONAL,20150501,2015-05-01,8-K,break closure collapse cut lapse lie miss,depend dependent,able encourages gain gains satisfy win
46,0001104659-14-072340,INTERNATIONAL,20141020,2014-10-20,8-K,break closing collapse cut divest divested ill lapse late lie lose losing loss losses miss,approximate approximately,able alliance benefit effective encourages gain gains leading satisfy smooth win
47,0001104659-19-005863,INTERNATIONAL,20190205,2019-02-05,8-K,break collapse cut fined ill lapse lie lying miss quit,approximate approximately differ revise revised,able attractive attractiveness encourages improve leading satisfy win
48,0001104659-14-079405,INTERNATIONAL,20141112,2014-11-12,8-K,break collapse cut ill lapse lie miss,approximate approximately could differ may,able encourages satisfy win
49,0001104659-15-051905,INTERNATIONAL,20150720,2015-07-20,8-K,adverse against break closed closing collapse concern conciliation critical curtail curtailment curtailments cut decline declining deter disclose disclosed discontinue discontinued divest divested divestiture downturn easing erred fail failure fined fines force ill imperative ineffective insolvency lack lapse late lie lose losing loss losses lying miss negative overage pled quit restructuring sever solvency taint weak weaken weakens,approximate approximately assume assumes assumption assumptions believe believes could differ fluctuation fluctuations intangible may pending revise risk risks roughly uncertain uncertainties,able alliance alliances benefit better effective efficiency enable enables encourages gain gains good improve improved improvement improvements improves improving innovate innovation invent inventor opportunities progress satisfy strength strengthen strengthens strong success successful successfully transparency win
50,0001104659-15-071586,INTERNATIONAL,20151020,2015-10-20,8-K,anomalies break closed collapse concern conciliation corrects cut decline declines declining delay delays divest divested divestiture divestitures easing erred error force ill imperative lack lapse late lie lose loss miss plea pleas pled question questions quit recall sever slow slowdown sue sues weak weaker weakness,anomalies believe could differ may nearly pending possibilities predict predicted roughly variable variables varied,able advantage advantages alliance benefit best bolstering collaboration effective efficiency efficient enable enabling encourages enhance enhanced enhancing gain gains good great greater improve improved improvement improvements innovation innovations innovative invent inventing inventor leading opportunity premier progress satisfy stable strength strong strongest success tremendous win
51,0000950157-16-002418,INTERNATIONAL,20161101,2016-11-01,8-K,adverse against allege alleged bankrupt bankruptcy breach break calamity cancel canceled cancellation cease claims closed closure collapse concern conflict conflicts contrary crisis cut damage damages default defaulted defaulting defaults defend defendant defendants defending delay delayed deter disclose disclosed encumbrance erred fail failed failure fault faulted faults fined force forego fraud fraudulent guilty harm ill impair impracticable impractical inability inadvisable inconsistent insolvency investigating investigation investigations lack lapse late lie limitation limitations lose losing loss losses lying mislead misleading misrepresent misrepresentation miss moratorium negative omission omissions omit omits omitted overdue penalty plea pleas pled poses postpone postponed question questions quit refusal reparation sever solvency sue sued suspend suspended suspending suspension terminate terminated termination threat threaten threatened threatening unavailable unpaid,alteration assume assumed believe conditional could depend dependent differ may pending possible preliminary sometime sometimes variation varied vary,able adequately beneficial benefit best charitable conclusive effective enable enabling gain gains good leading satisfaction satisfactory satisfied satisfy succeed success win
52,0001104659-16-091464,INTERNATIONAL,20160126,2016-01-26,8-K,break collapse cut easing ill lapse lie miss plea pleas,,able effective encourages innovation leading pleased profitability satisfy success successful win
53,0001104659-16-099789,INTERNATIONAL,20160225,2016-02-25,8-K,adverse break closure collapse concern conciliation contraction critical cut deter disrupt disruption disruptive divest divested downturn easing fail failure ill imperative incident ineffective lapse late lie lost miss pled problem problems sever sue sues suffer suffering taint,assume assumes assumption assumptions could differ fluctuation fluctuations may pending revise risk risks tending uncertain uncertainties,able advantage alliance alliances better creativity effective efficiency enable enabling encourages enhance excellence improve improvement improving innovation invent invented inventing leadership leading opportunities opportunity popular progress satisfy solving success successful successfully win
